timestamp,adc0,adc1,adc2,adc3,pkt_time_ns
6594128,2225,2411,2113,2123,1745157108770601870
6595125,2181,2309,2106,2121,1745157108770601870
6596125,2137,2186,2096,2110,1745157108770601870
6597125,2078,2038,2078,2091,1745157108770601870
6598125,2006,1883,2054,2069,1745157108770601870
6599126,1944,1750,2026,2048,1745157108770601870
6600126,1894,1657,2003,2026,1745157108770601870
6601126,1865,1613,1984,2014,1745157108770601870
6602126,1860,1621,1972,2005,1745157108770601870
6603126,1875,1677,1969,2004,1745157108770601870
6604126,1898,1766,1971,2012,1745157108770601870
6605126,1942,1876,1980,2028,1745157108770601870
6606126,1992,2006,1995,2049,1745157108770601870
6607126,2057,2172,2014,2072,1745157108770601870
6608126,2127,2336,2040,2096,1745157108770601870
6609126,2189,2474,2067,2118,1745157108770601870
6610126,2238,2559,2088,2129,1745157108770601870
6611127,2260,2585,2104,2131,1745157108770601870
6612127,2258,2559,2114,2124,1745157108770601870
6613127,2238,2485,2115,2108,1745157108770601870
6614127,2204,2373,2110,2090,1745157108770601870
6615127,2162,2250,2104,2066,1745157108770601870
6616127,2109,2104,2090,2036,1745157108770601870
6617127,2048,1940,2072,2006,1745157108770601870
6618127,1974,1776,2050,1981,1745157108770601870
6619127,1905,1636,2023,1963,1745157108770601870
6620127,1857,1539,2002,1953,1745157108770601870
6621127,1832,1502,1987,1950,1745157108770601870
6622127,1832,1508,1979,1955,1745157108770601870
6623128,1849,1553,1976,1963,1745157108770601870
6624128,1882,1641,1981,1973,1745157108770601870
6625128,1925,1754,1986,1988,1745157108770601870
6626128,1973,1888,1999,2006,1745157108770601870
6627128,2040,2052,2016,2030,1745157108770601870
6628128,2115,2219,2044,2057,1745157108770601870
6629128,2182,2357,2069,2081,1745157108770601870
6630128,2234,2452,2093,2098,1745157108770601870
6631128,2257,2497,2110,2105,1745157108770601870
6632128,2259,2485,2120,2109,1745157108770601870
6633128,2238,2428,2122,2107,1745157108770601870
6634128,2209,2344,2117,2101,1745157108770601870
6635129,2174,2243,2109,2094,1745157108770601870
6636129,2128,2120,2096,2083,1745157108770601870
6637129,2065,1971,2075,2067,1745157108770601870
6638129,1995,1824,2049,2050,1745157108770601870
6639129,1932,1693,2022,2029,1745157108770601870
6640129,1885,1601,1998,2016,1745157108770601870
6641129,1861,1555,1972,2011,1745157108770601870
6642129,1859,1560,1971,2016,1745157108770601870
6643129,1874,1612,1967,2025,1745157108770601870
6644129,1904,1701,1971,2048,1745157108770601870
6645129,1940,1814,1978,2070,1745157108770601870
6646129,1990,1958,1994,2093,1745157108770601870
6647130,2054,2129,2012,2117,1745157108770601870
6648130,2125,2305,2036,2136,1745157108770601870
6649130,2192,2459,2064,2148,1745157108770601870
6650130,2237,2559,2084,2152,1745157108770601870
6651130,2261,2588,2100,2150,1745157108770601870
6652130,2261,2564,2111,2141,1745157108840445242
6653130,2244,2498,2113,2130,1745157108840445242
6654130,2209,2388,2108,2116,1745157108840445242
6655130,2168,2261,2098,2100,1745157108840445242
6656130,2116,2114,2081,2084,1745157108840445242
6657130,2051,1945,2057,2066,1745157108840445242
6658130,1978,1784,2031,2044,1745157108840445242
6659131,1913,1649,2002,2027,1745157108840445242
6660131,1867,1563,1980,2016,1745157108840445242
6661131,1844,1535,1963,2017,1745157108840445242
6662132,1844,1553,1961,2053,1745157108840445242
6663131,1885,1664,1985,2096,1745157108840445242
6664131,1969,1781,2024,2124,1745157108840445242
6665131,1979,1878,2015,2116,1745157108840445242
6666132,2003,2011,2019,2113,1745157108840445242
6667131,2052,2174,1984,2057,1745157108840445242
6668131,2048,2269,2007,2066,1745157108840445242
6669131,2118,2417,2053,2078,1745157108840445242
6670131,2172,2510,2086,2080,1745157108840445242
6671132,2206,2549,2118,2080,1745157108840445242
6672132,2256,2540,2125,2066,1745157108840445242
6673132,2204,2457,2125,2048,1745157108840445242
6674132,2166,2350,2123,2033,1745157108840445242
6675132,2129,2233,2116,2022,1745157108840445242
6676132,2082,2091,2100,2012,1745157108840445242
6677132,2020,1927,2083,1996,1745157108840445242
6678132,1952,1762,2060,1980,1745157108840445242
6679132,1889,1625,2031,1970,1745157108840445242
6680132,1839,1535,2010,1963,1745157108840445242
6681132,1818,1502,1995,1960,1745157108840445242
6682132,1823,1513,1988,1961,1745157108840445242
6683133,1835,1568,1988,1968,1745157108840445242
6684133,1868,1665,1993,1974,1745157108840445242
6685133,1912,1782,2010,1987,1745157108840445242
6686133,1966,1925,2025,2005,1745157108840445242
6687133,2034,2100,2049,2030,1745157108840445242
6688133,2108,2274,2076,2057,1745157108840445242
6689133,2177,2413,2106,2078,1745157108840445242
6690133,2222,2504,2128,2099,1745157108840445242
6691133,2243,2531,2142,2115,1745157108840445242
6692133,2241,2498,2152,2123,1745157108840445242
6693133,2220,2418,2151,2124,1745157108840445242
6694133,2188,2320,2142,2121,1745157108840445242
6695134,2141,2206,2126,2110,1745157108840445242
6696134,2090,2074,2108,2091,1745157108840445242
6697134,2024,1926,2079,2072,1745157108840445242
6698134,1950,1790,2042,2050,1745157108840445242
6699134,1885,1675,2011,2026,1745157108840445242
6700134,1842,1602,1982,2006,1745157108840445242
6701134,1820,1580,1961,1993,1745157108840445242
6702134,1821,1608,1948,1975,1745157108840445242
6703134,1848,1676,1942,1966,1745157108840445242
6704134,1885,1777,1940,1970,1745157108840445242
6705134,1928,1896,1946,1976,1745157108840445242
6706134,1985,2036,1960,2002,1745157108840445242
6707135,2058,2202,1979,2014,1745157108840445242
6708135,2130,2368,2005,2040,1745157108840445242
6709135,2200,2505,2029,2063,1745157108840445242
6710135,2249,2579,2054,2084,1745157108883130842
6711135,2271,2609,2067,2098,1745157108883130842
6712135,2272,2577,2080,2104,1745157108883130842
6713135,2252,2504,2081,2112,1745157108883130842
6714135,2217,2400,2076,2117,1745157108883130842
6715135,2171,2277,2066,2120,1745157108883130842
6716135,2124,2132,2053,2116,1745157108883130842
6717135,2057,1971,2035,2116,1745157108883130842
6718135,1982,1810,1998,2091,1745157108883130842
6719136,1920,1676,1972,2066,1745157108883130842
6720137,1875,1594,1946,2025,1745157108883130842
6721136,1845,1549,1923,1993,1745157108883130842
6722136,1847,1570,1920,1969,1745157108883130842
6723136,1869,1634,1921,1954,1745157108883130842
6724136,1900,1733,1932,1952,1745157108883130842
6725136,1941,1850,1948,1956,1745157108883130842
6726136,1993,1992,1974,1964,1745157108883130842
6727136,2066,2157,2005,1984,1745157108883130842
6728136,2138,2329,2043,2008,1745157108883130842
6729136,2200,2469,2085,2034,1745157108883130842
6730136,2306,2644,2192,2110,1745157108883130842
6731137,2328,2660,2203,2105,1745157108883130842
6732137,2304,2617,2203,2102,1745157108883130842
6733137,2260,2523,2201,2044,1745157108883130842
6734137,2161,2399,2200,2089,1745157108883130842
6735137,2139,2251,2180,2067,1745157108883130842
6736137,2069,2085,2159,2042,1745157108883130842
6737137,1988,1910,2139,1963,1745157108883130842
6738137,1861,1697,2041,1944,1745157108883130842
6739137,1802,1582,2028,1946,1745157108883130842
6740137,1780,1523,2019,1944,1745157108883130842
6741137,1779,1506,2013,1949,1745157108883130842
6742137,1798,1548,2026,1982,1745157108883130842
6743138,1845,1618,2010,1974,1745157108883130842
6744138,1876,1714,2020,1992,1745157108883130842
6745138,1929,1838,2035,2014,1745157108883130842
6746138,1988,1987,2052,2038,1745157108883130842
6747138,2062,2154,2085,2062,1745157108883130842
6748138,2141,2321,2108,2082,1745157108883130842
6749138,2211,2457,2137,2104,1745157108883130842
6750138,2258,2547,2162,2116,1745157108883130842
6751138,2280,2567,2178,2119,1745157108883130842
6752138,2276,2543,2187,2116,1745157108883130842
6753138,2254,2468,2185,2113,1745157108883130842
6754138,2219,2366,2176,2104,1745157108883130842
6755139,2176,2241,2161,2091,1745157108883130842
6756139,2122,2092,2140,2076,1745157108883130842
6757139,2053,1930,2115,2064,1745157108883130842
6758139,1977,1772,2080,2051,1745157108883130842
6759139,1907,1642,2049,2038,1745157108883130842
6760139,1861,1554,2016,2032,1745157108883130842
6761139,1836,1531,1992,2032,1745157108883130842
6762139,1834,1550,1981,2041,1745157108883130842
6763139,1858,1616,1972,2037,1745157108883130842
6764139,1888,1708,1969,2042,1745157108883130842
6765139,1927,1828,1974,2056,1745157108883130842
6766139,1979,1974,1987,2071,1745157108883130842
6767140,2050,2141,2012,2092,1745157108883130842
6768140,2125,2306,2038,2120,1745157108950494445
6769140,2189,2443,2069,2147,1745157108950494445
6770140,2236,2526,2092,2163,1745157108950494445
6771140,2257,2547,2110,2171,1745157108950494445
6772140,2252,2515,2117,2168,1745157108950494445
6773140,2227,2437,2118,2153,1745157108950494445
6774140,2193,2331,2114,2130,1745157108950494445
6775140,2152,2208,2103,2117,1745157108950494445
6776140,2107,2066,2085,2086,1745157108950494445
6777140,2027,1898,2062,2056,1745157108950494445
6778140,1958,1740,2044,2057,1745157108950494445
6779141,1961,1650,2061,2048,1745157108950494445
6780141,1890,1512,1965,1948,1745157108950494445
6781141,1796,1467,1944,1940,1745157108950494445
6782141,1796,1492,1944,1943,1745157108950494445
6783141,1819,1550,1948,1948,1745157108950494445
6784142,1859,1649,1971,1962,1745157108950494445
6785141,1908,1765,1961,1961,1745157108950494445
6786141,1957,1908,1979,1974,1745157108950494445
6787141,2033,2079,2003,1993,1745157108950494445
6788141,2115,2248,2033,2013,1745157108950494445
6789141,2181,2392,2064,2037,1745157108950494445
6790141,2229,2486,2091,2057,1745157108950494445
6791142,2253,2519,2120,2066,1745157108950494445
6792142,2250,2496,2136,2076,1745157108950494445
6793142,2225,2427,2145,2081,1745157108950494445
6794142,2189,2326,2146,2078,1745157108950494445
6795142,2145,2202,2144,2068,1745157108950494445
6796142,2094,2054,2128,2052,1745157108950494445
6797142,2027,1890,2107,2030,1745157108950494445
6798142,1955,1732,2075,2009,1745157108950494445
6799142,1889,1603,2041,1988,1745157108950494445
6800142,1845,1530,2016,1977,1745157108950494445
6801142,1827,1498,1993,1964,1745157108950494445
6802142,1829,1524,1979,1960,1745157108950494445
6803143,1848,1586,1968,1960,1745157108950494445
6804143,1882,1688,1968,1963,1745157108950494445
6805143,1926,1808,1974,1969,1745157108950494445
6806143,1983,1954,1986,1984,1745157108950494445
6807143,2051,2126,2006,2003,1745157108950494445
6808143,2125,2294,2032,2025,1745157108950494445
6809143,2193,2429,2066,2048,1745157108950494445
6810143,2237,2512,2091,2066,1745157108950494445
6811143,2254,2539,2109,2080,1745157108950494445
6812143,2246,2508,2118,2086,1745157108950494445
6813143,2220,2428,2118,2088,1745157108950494445
6814143,2186,2320,2118,2081,1745157108950494445
6815144,2141,2194,2091,2073,1745157108950494445
6816144,2083,2050,2066,2059,1745157108950494445
6817144,2013,1885,2034,2038,1745157108950494445
6818144,1941,1723,2001,2019,1745157108950494445
6819144,1878,1590,1971,2004,1745157108950494445
6820144,1835,1516,1943,1994,1745157108950494445
6821144,1817,1486,1924,1990,1745157108950494445
6822144,1820,1510,1916,1993,1745157108950494445
6823144,1845,1570,1918,2000,1745157108950494445
6824144,1880,1673,1928,2012,1745157108950494445
6825144,1926,1795,1939,2033,1745157108950494445
6826144,1984,1941,1957,2058,1745157109000089357
6827145,2057,2112,1986,2084,1745157109000089357
6828145,2130,2282,2015,2108,1745157109000089357
6829145,2194,2426,2049,2126,1745157109000089357
6830145,2235,2518,2077,2130,1745157109000089357
6831145,2256,2550,2101,2122,1745157109000089357
6832145,2251,2526,2114,2109,1745157109000089357
6833145,2227,2460,2114,2092,1745157109000089357
6834145,2188,2371,2116,2076,1745157109000089357
6835145,2152,2270,2098,2019,1745157109000089357
6836145,2052,2073,2043,2001,1745157109000089357
6837145,2000,1938,2027,1988,1745157109000089357
6838145,1945,1791,2027,1997,1745157109000089357
6839146,1899,1675,1993,1969,1745157109000089357
6840146,1856,1590,1970,1956,1745157109000089357
6841146,1835,1562,1951,1953,1745157109000089357
6842146,1837,1586,1941,1956,1745157109000089357
6843146,1857,1654,1944,1963,1745157109000089357
6844146,1896,1752,1953,1973,1745157109000089357
6845146,1942,1867,1972,2014,1745157109000089357
6846146,2010,2084,2063,2069,1745157109000089357
6847146,2126,2241,2020,2018,1745157109000089357
6848146,2121,2321,2036,2034,1745157109000089357
6849146,2179,2459,2077,2065,1745157109000089357
6850146,2224,2542,2108,2085,1745157109000089357
6851147,2245,2559,2177,2107,1745157109000089357
6852147,2252,2534,2133,2106,1745157109000089357
6853147,2220,2448,2124,2112,1745157109000089357
6854147,2181,2342,2113,2109,1745157109000089357
6855147,2141,2219,2101,2099,1745157109000089357
6856147,2086,2070,2082,2082,1745157109000089357
6857147,2018,1907,2057,2062,1745157109000089357
6858147,1945,1752,2028,2035,1745157109000089357
6859147,1880,1625,1996,2013,1745157109000089357
6860147,1837,1547,1970,1992,1745157109000089357
6861147,1817,1534,1947,1984,1745157109000089357
6862147,1820,1561,1931,1981,1745157109000089357
6863148,1841,1641,1925,1985,1745157109000089357
6864148,1877,1754,1933,1996,1745157109000089357
6865148,1928,1888,1949,2006,1745157109000089357
6866148,1976,2044,1963,2016,1745157109000089357
6867148,2048,2224,1995,2033,1745157109000089357
6868148,2123,2398,2028,2052,1745157109000089357
6869148,2188,2541,2063,2072,1745157109000089357
6870148,2230,2625,2088,2087,1745157109000089357
6871148,2252,2648,2102,2099,1745157109000089357
6872148,2249,2614,2104,2104,1745157109000089357
6873148,2227,2544,2095,2106,1745157109000089357
6874148,2189,2436,2078,2102,1745157109000089357
6875149,2141,2308,2065,2089,1745157109000089357
6876149,2086,2156,2051,2072,1745157109000089357
6877149,2017,1988,2027,2052,1745157109000089357
6878149,1941,1827,2003,2028,1745157109000089357
6879149,1876,1699,1987,2009,1745157109000089357
6880149,1835,1618,1980,1994,1745157109000089357
6881149,1816,1590,1981,1986,1745157109000089357
6882149,1817,1620,1984,1986,1745157109000089357
6883149,1838,1697,1984,1988,1745157109000089357
6884149,1876,1803,1978,1992,1745157109060264901
6885149,1921,1934,1970,2005,1745157109060264901
6886149,1977,2094,1962,2025,1745157109060264901
6887150,2049,2273,1964,2044,1745157109060264901
6888150,2130,2444,1972,2064,1745157109060264901
6889150,2196,2577,1974,2083,1745157109060264901
6890150,2241,2668,1974,2098,1745157109060264901
6891150,2257,2697,1963,2105,1745157109060264901
6892150,2254,2666,1942,2109,1745157109060264901
6893150,2232,2588,1915,2102,1745157109060264901
6894150,2189,2491,1885,2099,1745157109060264901
6895150,2147,2376,1850,2090,1745157109060264901
6896150,2157,2282,1834,2129,1745157109060264901
6897150,2058,2027,1705,2031,1745157109060264901
6898150,1906,1837,1625,2014,1745157109060264901
6899151,1843,1696,1562,2001,1745157109060264901
6900151,1802,1604,1513,1989,1745157109060264901
6901151,1785,1579,1474,1985,1745157109060264901
6902151,1791,1578,1445,1968,1745157109060264901
6903151,1816,1636,1440,1962,1745157109060264901
6904151,1858,1728,1449,1966,1745157109060264901
6905151,1908,1845,1468,1977,1745157109060264901
6906151,1971,1991,1502,1993,1745157109060264901
6907151,2054,2160,1540,2014,1745157109060264901
6908151,2141,2326,1587,2041,1745157109060264901
6909151,2213,2461,1641,2072,1745157109060264901
6910151,2262,2541,1688,2097,1745157109060264901
6911152,2288,2556,1729,2121,1745157109060264901
6912152,2286,2510,1755,2146,1745157109060264901
6913152,2267,2416,1783,2164,1745157109060264901
6914152,2229,2296,1793,2173,1745157109060264901
6915152,2185,2160,1798,2169,1745157109060264901
6916152,2129,1999,1797,2143,1745157109060264901
6917152,2060,1827,1794,2105,1745157109060264901
6918152,1983,1667,1786,2066,1745157109060264901
6919152,1912,1544,1773,2026,1745157109060264901
6920152,1864,1478,1765,1994,1745157109060264901
6921152,1841,1463,1761,1968,1745157109060264901
6922152,1842,1500,1765,1957,1745157109060264901
6923153,1863,1579,1781,1954,1745157109060264901
6924153,1897,1697,1807,1962,1745157109060264901
6925153,1939,1834,1839,1978,1745157109060264901
6926153,1997,1997,1876,2000,1745157109060264901
6927153,2069,2179,1913,2029,1745157109060264901
6928153,2146,2356,1955,2056,1745157109060264901
6929153,2208,2497,1994,2076,1745157109060264901
6930153,2246,2580,2034,2085,1745157109060264901
6931153,2261,2595,2070,2086,1745157109060264901
6932153,2250,2559,2098,2084,1745157109060264901
6933153,2218,2483,2108,2080,1745157109060264901
6934153,2177,2370,2112,2074,1745157109060264901
6935154,2130,2239,2109,2063,1745157109060264901
6936154,2073,2078,2098,2044,1745157109060264901
6937154,2003,1899,2083,2035,1745157109060264901
6938154,1932,1730,2053,2016,1745157109060264901
6939154,1861,1590,2022,2006,1745157109060264901
6940154,1820,1510,1997,2001,1745157109060264901
6941154,1809,1472,1978,1994,1745157109060264901
6942154,1819,1488,1966,1998,1745157109126617420
6943154,1851,1546,1952,2006,1745157109126617420
