timestamp,emg0,emg1,emg2,emg3,pkt_time_ns
6868360,3434,2020,677,1774,1745203091567360040
6869358,3600,2188,728,1792,1745203091567360040
6870358,3736,2328,774,1812,1745203091567360040
6871358,3834,2449,820,1827,1745203091567360040
6872358,3905,2552,866,1841,1745203091567360040
6873358,3955,2642,902,1853,1745203091567360040
6874358,3991,2740,935,1864,1745203091567360040
6875358,4017,2851,968,1874,1745203091567360040
6876358,4036,2974,1002,1882,1745203091567360040
6877358,4051,3114,1037,1892,1745203091567360040
6878358,4059,3262,1072,1902,1745203091567360040
6879358,4065,3424,1105,1910,1745203091567360040
6880358,4070,3583,1143,1918,1745203091567360040
6881359,4073,3722,1182,1925,1745203091567360040
6882359,4076,3824,1225,1935,1745203091567360040
6883359,4078,3896,1266,1945,1745203091567360040
6884359,4081,3948,1314,1956,1745203091567360040
6885359,4082,3986,1361,1969,1745203091567360040
6886359,4081,4013,1413,1981,1745203091567360040
6887359,4082,4035,1464,1990,1745203091567360040
6888359,4084,4046,1514,2000,1745203091567360040
6889359,4083,4056,1550,2008,1745203091567360040
6890359,4083,4064,1592,2015,1745203091567360040
6891359,4084,4070,1631,2024,1745203091567360040
6892359,4085,4075,1662,2028,1745203091567360040
6893360,4084,4076,1692,2034,1745203091567360040
6894360,4084,4079,1717,2041,1745203091567360040
6895360,4085,4080,1741,2044,1745203091567360040
6896360,4084,4080,1761,2051,1745203091567360040
6897360,4086,4081,1781,2058,1745203091567360040
6898360,4086,4084,1798,2062,1745203091567360040
6899360,4085,4083,1822,2067,1745203091567360040
6900360,4084,4084,1843,2069,1745203091567360040
6901360,4085,4084,1867,2071,1745203091567360040
6902360,4085,4084,1895,2070,1745203091567360040
6903360,4086,4084,1922,2068,1745203091567360040
6904360,4085,4085,1955,2068,1745203091567360040
6905361,4085,4085,1989,2069,1745203091567360040
6906361,4085,4085,2026,2072,1745203091567360040
6907361,4086,4084,2062,2074,1745203091567360040
6908361,4086,4086,2097,2077,1745203091567360040
6909361,4086,4085,2129,2078,1745203091567360040
6910361,4085,4085,2155,2078,1745203091567360040
6911361,4085,4086,2180,2081,1745203091567360040
6912361,4084,4086,2200,2082,1745203091567360040
6913361,4085,4086,2219,2083,1745203091567360040
6914361,4086,4085,2232,2084,1745203091567360040
6915361,4086,4085,2244,2086,1745203091567360040
6916361,4084,4086,2253,2087,1745203091567360040
6917362,4086,4084,2264,2088,1745203091567360040
6918362,4085,4086,2275,2088,1745203091567360040
