timestamp,emg0,emg1,emg2,emg3,pkt_time_ns
9124931,2512,2323,1888,1969,1745186944464415035
9125928,2496,2325,1911,1956,1745186944464415035
9126928,2474,2299,1924,1960,1745186944464415035
9127928,2443,2261,1933,1978,1745186944464415035
9128928,2405,2224,1934,2001,1745186944464415035
9129929,2366,2189,1925,2028,1745186944464415035
9130929,2329,2153,1913,2059,1745186944464415035
9131929,2295,2102,1906,2086,1745186944464415035
9132929,2265,2022,1908,2105,1745186944464415035
9133929,2240,1933,1915,2120,1745186944464415035
9134929,2222,1857,1915,2131,1745186944464415035
9135929,2212,1821,1900,2142,1745186944464415035
9136929,2213,1835,1866,2145,1745186944464415035
9137929,2225,1900,1824,2140,1745186944464415035
9138929,2246,1982,1798,2121,1745186944464415035
9139929,2272,2067,1800,2088,1745186944464415035
9140929,2296,2157,1829,2037,1745186944464415035
9141930,2315,2251,1872,1984,1745186944464415035
9142930,2329,2330,1914,1933,1745186944464415035
9143930,2331,2379,1942,1899,1745186944464415035
9144930,2326,2395,1964,1885,1745186944464415035
9145930,2310,2380,1990,1894,1745186944464415035
9146930,2288,2333,2020,1916,1745186944464415035
9147930,2257,2259,2038,1954,1745186944464415035
9148930,2229,2171,2048,1998,1745186944464415035
9149930,2202,2093,2040,2042,1745186944464415035
9150930,2182,2034,2029,2082,1745186944464415035
9151930,2168,1997,2020,2110,1745186944464415035
9152930,2163,1962,2021,2132,1745186944464415035
9153931,2164,1917,2028,2156,1745186944464415035
9154931,2171,1878,2033,2178,1745186944464415035
9155931,2184,1857,2025,2198,1745186944464415035
9156931,2200,1852,2003,2204,1745186944464415035
9157931,2221,1857,1978,2195,1745186944464415035
9158931,2249,1884,1947,2170,1745186944464415035
9159931,2282,1932,1926,2130,1745186944464415035
9160931,2317,2002,1909,2083,1745186944464415035
9161931,2352,2086,1909,2029,1745186944464415035
9162931,2380,2174,1915,1974,1745186944464415035
9163931,2400,2263,1923,1926,1745186944464415035
9164931,2408,2355,1939,1895,1745186944464415035
9165932,2403,2450,1949,1884,1745186944464415035
9166932,2384,2532,1958,1889,1745186944464415035
9167932,2351,2571,1969,1910,1745186944464415035
9168932,2307,2564,1980,1941,1745186944464415035
9169932,2260,2506,1992,1984,1745186944464415035
9170932,2211,2395,1997,2034,1745186944464415035
