timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
538912,-41,-403,-163,112,682,-8046,1745155663241865996
539104,-7,-333,-175,-117,1425,-7811,1745155663241865996
539296,25,-291,-153,-260,1648,-7712,1745155663241865996
539488,57,-222,-141,-113,1524,-7888,1745155663241865996
539680,105,-178,-149,171,1499,-7973,1745155663241865996
539872,128,-140,-159,378,1471,-8065,1745155663241865996
540064,158,-106,-166,497,1385,-8157,1745155663241865996
540256,187,-87,-169,596,1280,-8248,1745155663241865996
540448,190,-86,-168,867,1029,-8278,1745155663241865996
540640,195,-102,-172,1023,1024,-8239,1745155663241865996
540832,202,-121,-172,953,1241,-8247,1745155663241865996
541024,213,-124,-170,755,1369,-8208,1745155663241865996
541216,223,-116,-177,574,1349,-8183,1745155663298925475
541408,224,-103,-188,348,1282,-8237,1745155663298925475
541600,227,-80,-199,153,1202,-8280,1745155663298925475
541792,228,-49,-206,-28,1195,-8284,1745155663298925475
541984,225,-3,-206,-115,1251,-8329,1745155663298925475
542176,226,52,-195,-171,1348,-8344,1745155663298925475
542368,230,99,-181,-192,1335,-8362,1745155663298925475
542560,238,161,-167,-131,1274,-8377,1745155663298925475
542752,250,207,-151,-65,1240,-8398,1745155663298925475
542944,267,245,-134,-3,1252,-8424,1745155663298925475
543136,291,281,-117,14,1340,-8436,1745155663298925475
543328,321,322,-99,-36,1525,-8441,1745155663298925475
543520,360,368,-81,-109,1732,-8388,1745155663358334359
543712,409,417,-60,-174,1792,-8338,1745155663358334359
543904,460,457,-33,188,1622,-7807,1745155663358334359
544096,413,463,-22,339,27,-9196,1745155663358334359
544288,450,446,13,528,2472,-7855,1745155663358334359
544480,580,420,100,198,2115,-7849,1745155663358334359
544672,700,480,129,166,1094,-7870,1745155663358334359
544864,918,472,122,94,884,-8035,1745155663358334359
545056,1186,570,181,-36,337,-8033,1745155663358334359
545248,442,533,174,83,-2046,-7710,1745155663358334359
545440,-196,364,44,1081,-3616,-7641,1745155663358334359
545632,-16,446,-13,1384,-2538,-7629,1745155663358334359
545824,-266,419,-42,1814,-1583,-7346,1745155663414718115
546016,-337,341,-89,2000,-293,-7378,1745155663414718115
546208,-341,299,-145,2073,908,-7291,1745155663414718115
546400,-279,219,-207,2009,1721,-7207,1745155663414718115
546592,-175,136,-257,1904,2136,-7278,1745155663414718115
