timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
105185,-35,85,-4,-79,790,-7743,1745157108770601870
105377,-70,86,7,-227,-60,-7408,1745157108770601870
105569,-74,206,-11,308,142,-7809,1745157108770601870
105761,-14,168,-7,611,609,-7592,1745157108770601870
105953,-7,187,8,721,661,-7835,1745157108770601870
106145,9,178,-7,857,653,-7944,1745157108770601870
106337,16,154,-22,946,522,-7945,1745157108770601870
106529,5,140,-35,985,512,-8013,1745157108770601870
106721,19,109,-39,1006,603,-8032,1745157108770601870
106913,25,83,-34,1035,690,-8090,1745157108770601870
107105,25,59,-33,1071,683,-8184,1745157108770601870
107297,32,30,-35,1081,700,-8227,1745157108770601870
107489,31,1,-34,1058,748,-8240,1745157108840445242
107681,36,-20,-30,990,778,-8257,1745157108840445242
107873,40,-37,-25,898,776,-8300,1745157108840445242
108065,34,-45,-23,801,703,-8352,1745157108840445242
108257,29,-44,-22,715,662,-8382,1745157108840445242
108449,24,-41,-17,672,668,-8402,1745157108840445242
108641,23,-35,-9,688,680,-8397,1745157108840445242
108833,30,-30,-2,720,714,-8389,1745157108840445242
109025,37,-27,2,717,771,-8365,1745157108840445242
109217,50,-23,6,752,832,-8354,1745157108840445242
109409,62,-22,12,762,805,-8365,1745157108840445242
109601,69,-22,17,769,754,-8348,1745157108840445242
109793,75,-23,23,706,664,-8370,1745157108883130842
109985,70,-22,28,645,496,-8396,1745157108883130842
110177,80,-15,30,543,763,-8333,1745157108883130842
110369,110,-1,37,485,1000,-8244,1745157108883130842
110561,139,16,39,515,914,-8169,1745157108883130842
110753,158,61,27,311,-537,-8652,1745157108883130842
110945,82,59,6,1063,901,-7852,1745157108883130842
111137,177,-10,58,674,1883,-7833,1745157108883130842
111329,263,58,94,346,1720,-8003,1745157108883130842
111521,315,56,77,395,1101,-8005,1745157108883130842
111713,313,87,60,600,544,-7949,1745157108883130842
111905,331,85,44,713,110,-7888,1745157108883130842
112097,-347,125,113,1013,-3691,-9092,1745157108950494445
112289,-524,234,22,924,-3920,-6822,1745157108950494445
