timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
745312,-299,-314,17,5521,1217,-5369,1745149969505109924
745504,-140,-240,27,3913,2269,-7013,1745149969505109924
745696,-129,-276,43,3637,2331,-6861,1745149969505109924
745888,-150,-236,40,3626,1868,-6770,1745149969505109924
746080,-160,-230,17,3605,1527,-6955,1745149969505109924
746272,-244,-264,3,3364,1623,-7051,1745149969505109924
746464,-280,-240,5,3175,1752,-7111,1745149969505109924
746656,-292,-234,8,3072,1905,-7159,1745149969505109924
746848,-309,-198,10,3009,2125,-7257,1745149969505109924
747040,-282,-142,5,3002,2352,-7300,1745149969505109924
747232,-249,-106,-7,3041,2638,-7398,1745149969505109924
747424,-209,-53,-23,3071,2826,-7533,1745149969505109924
747616,-147,10,-42,3002,3092,-7765,1745149969562559503
747808,-67,78,-46,2956,3210,-8037,1745149969562559503
748000,27,169,-39,3023,3225,-8322,1745149969562559503
748192,111,247,-25,3118,3146,-8334,1745149969562559503
748384,175,305,-7,3236,2961,-8086,1745149969562559503
748576,326,251,2,2559,4169,-6392,1745149969562559503
748768,314,423,16,2408,2874,-9631,1745149969562559503
748960,265,495,2,3407,2060,-6455,1745149969562559503
749152,357,483,-51,3851,1709,-6988,1745149969562559503
749344,338,504,-143,3714,2519,-7725,1745149969562559503
749536,288,607,-41,2932,2242,-5180,1745149969562559503
749728,220,280,-40,5289,225,-5920,1745149969562559503
749920,50,28,-78,5342,349,-6415,1745149969621628130
750112,-81,-10,-20,5030,622,-6761,1745149969621628130
750304,-171,-97,-8,4479,1023,-6309,1745149969621628130
750496,-223,-93,-28,3899,1763,-6421,1745149969621628130
750688,-238,-92,-16,3507,2245,-6510,1745149969621628130
750880,-200,-98,-31,3166,2716,-6710,1745149969621628130
751072,-134,-46,-41,2887,2953,-6694,1745149969621628130
751264,-45,12,-43,2806,3056,-6700,1745149969621628130
751456,52,71,-37,2944,3087,-6745,1745149969621628130
751648,135,123,-27,3271,2900,-6810,1745149969621628130
751840,194,150,-21,3586,2667,-6821,1745149969621628130
752032,220,152,-22,3901,2379,-6865,1745149969621628130
752224,211,137,-27,4131,2079,-6905,1745149969678460580
752416,178,108,-29,4239,1863,-6928,1745149969678460580
752608,125,75,-29,4247,1726,-6915,1745149969678460580
752800,62,44,-26,4141,1714,-6891,1745149969678460580
752992,2,16,-23,3969,1790,-6837,1745149969678460580
753184,-48,-2,-18,3794,1960,-6808,1745149969678460580
753376,-78,-13,-14,3666,2153,-6776,1745149969678460580
753568,-89,-17,-11,3582,2345,-6765,1745149969678460580
753760,-85,-12,-12,3530,2500,-6769,1745149969678460580
753952,-65,-3,-12,3554,2562,-6762,1745149969678460580
754144,-35,10,-10,3566,2594,-6782,1745149969678460580
754336,-1,22,-7,3621,2566,-6810,1745149969678460580
754528,25,30,-4,3693,2500,-6783,1745149969737156606
754720,42,33,-1,3743,2386,-6782,1745149969737156606
754912,48,29,0,3786,2285,-6795,1745149969737156606
755104,43,24,0,3817,2167,-6810,1745149969737156606
755296,29,17,1,3822,2071,-6834,1745149969737156606
755488,7,9,2,3827,2058,-6867,1745149969737156606
755680,-17,0,4,3833,2070,-6903,1745149969737156606
755872,-35,-9,4,3801,2146,-6957,1745149969737156606
756064,-47,-17,4,3768,2226,-6999,1745149969737156606
756256,-54,-21,2,3733,2308,-7028,1745149969737156606
756448,-55,-22,0,3723,2378,-7050,1745149969737156606
756640,-50,-23,-2,3696,2429,-7052,1745149969737156606
756832,-40,-20,-4,3651,2441,-7028,1745149969797020955
757024,-31,-18,-4,3654,2444,-7033,1745149969797020955
757216,-22,-14,-6,3641,2400,-7025,1745149969797020955
757408,-17,-11,-10,3616,2369,-6990,1745149969797020955
757600,-15,-7,-13,3636,2331,-6945,1745149969797020955
757792,-14,-6,-13,3643,2286,-6938,1745149969797020955
757984,-15,-5,-10,3655,2281,-6928,1745149969797020955
758176,-14,-4,-7,3653,2272,-6944,1745149969797020955
758368,-10,-2,-6,3655,2270,-6931,1745149969797020955
758560,-6,2,-8,3652,2315,-6948,1745149969797020955
758752,1,10,-9,3665,2341,-6967,1745149969797020955
758944,10,17,-10,3666,2351,-6969,1745149969797020955
759136,23,23,-10,3694,2332,-6950,1745149969869544199
759328,38,31,-7,3699,2286,-6955,1745149969869544199
759520,56,38,-5,3688,2219,-7001,1745149969869544199
759712,73,45,-3,3688,2170,-7010,1745149969869544199
759904,88,51,-2,3676,2116,-7032,1745149969869544199
760096,95,57,-2,3701,2090,-7067,1745149969869544199
760288,91,62,-2,3726,2075,-7080,1745149969869544199
760480,80,66,-2,3775,2089,-7097,1745149969869544199
760672,68,69,-1,3796,2089,-7073,1745149969869544199
760864,57,71,0,3825,2101,-7041,1745149969869544199
761056,50,71,2,3857,2120,-7024,1745149969869544199
761248,49,69,6,3856,2129,-7008,1745149969869544199
761440,50,69,11,3842,2140,-6998,1745149969915795756
761632,59,70,14,3819,2145,-7103,1745149969915795756
761824,74,67,10,3866,2219,-7314,1745149969915795756
762016,98,62,1,3921,2310,-7489,1745149969915795756
762208,134,59,-9,3947,2412,-7654,1745149969915795756
762400,177,58,-18,4004,2467,-7756,1745149969915795756
762592,222,60,-30,4049,2518,-7843,1745149969915795756
762784,268,67,-39,4048,2473,-7900,1745149969915795756
762976,300,73,-39,4053,2374,-7753,1745149969915795756
763168,320,68,-31,4076,2256,-7651,1745149969915795756
763360,342,54,-16,4084,2112,-7624,1745149969915795756
763552,358,43,-2,4052,1941,-7623,1745149969915795756
763744,353,35,11,4011,1785,-7539,1745149969970363591
763936,320,29,24,4005,1667,-7416,1745149969970363591
764128,270,19,33,4044,1630,-7321,1745149969970363591
764320,220,0,37,4124,1676,-7265,1745149969970363591
764512,176,-22,40,4182,1756,-7189,1745149969970363591
764704,142,-43,45,4240,1876,-7163,1745149969970363591
764896,116,-64,49,4295,1979,-6920,1745149969970363591
765088,109,-87,48,4312,2056,-6846,1745149969970363591
765280,111,-100,48,4297,2109,-7325,1745149969970363591
765472,100,-86,45,4227,1917,-7322,1745149969970363591
765664,105,-67,39,4237,1693,-7072,1745149969970363591
765856,146,-86,46,4290,1637,-6969,1745149969970363591
766048,191,-120,59,4189,1654,-7058,1745149970030912517
766240,204,-144,66,4027,1654,-7200,1745149970030912517
766432,187,-144,58,3955,1545,-7374,1745149970030912517
766624,170,-144,46,4031,1405,-7503,1745149970030912517
766816,181,-154,41,4184,1314,-7661,1745149970030912517
767008,222,-174,45,4293,1318,-7697,1745149970030912517
767200,263,-197,49,4391,1476,-7692,1745149970030912517
767392,289,-218,40,4531,1759,-7728,1745149970030912517
767584,298,-239,12,4680,1924,-7698,1745149970030912517
767776,294,-266,-27,4722,2032,-7583,1745149970030912517
767968,293,-292,-54,4660,1969,-7392,1745149970030912517
768160,297,-310,-61,4550,1820,-7105,1745149970030912517
768352,307,-331,-54,4477,1744,-6817,1745149970086734871
768544,316,-362,-48,4402,1857,-6844,1745149970086734871
768736,272,-384,-55,4199,2007,-6669,1745149970086734871
768928,155,-408,-73,4017,2049,-6603,1745149970086734871
769120,38,-425,-93,3833,1992,-6725,1745149970086734871
769312,-36,-419,-95,3654,1870,-6829,1745149970086734871
769504,-59,-421,-74,3695,1874,-6942,1745149970086734871
769696,-25,-472,-41,3990,2204,-7536,1745149970086734871
769888,41,-518,-15,3976,2393,-7527,1745149970086734871
770080,90,-528,3,3879,2290,-7663,1745149970086734871
770272,150,-541,-9,3851,2250,-8027,1745149970086734871
770464,225,-555,-50,3962,2452,-8292,1745149970086734871
770656,279,-601,-89,4086,2744,-8559,1745149970149088989
770848,322,-656,-123,4127,2879,-8525,1745149970149088989
771040,371,-695,-149,3969,2726,-8524,1745149970149088989
771232,430,-712,-154,3662,2299,-8527,1745149970149088989
771424,486,-709,-133,3282,1864,-8413,1745149970149088989
771616,525,-698,-81,2976,1353,-8159,1745149970149088989
771808,529,-683,-19,2698,820,-7928,1745149970149088989
772000,498,-666,36,2541,386,-7975,1745149970149088989
772192,428,-655,76,2581,84,-7908,1745149970149088989
772384,325,-676,90,2869,182,-8331,1745149970149088989
772576,182,-703,80,3177,246,-8602,1745149970149088989
772768,22,-721,64,3369,105,-8230,1745149970149088989
772960,-112,-764,50,3558,320,-8472,1745149970227755666
773152,-253,-818,22,3664,801,-8667,1745149970227755666
773344,-419,-855,-25,3591,1283,-8654,1745149970227755666
773536,-576,-900,-67,3483,1725,-8806,1745149970227755666
773728,-696,-948,-88,3332,2035,-8896,1745149970227755666
773920,-768,-997,-80,3202,2119,-8914,1745149970227755666
774112,-786,-1041,-50,3036,2121,-8987,1745149970227755666
774304,-765,-1068,-19,2970,2205,-9224,1745149970227755666
774496,-737,-1082,-2,3338,2809,-9603,1745149970227755666
774688,-709,-1116,-22,4270,4010,-9732,1745149970227755666
774880,-646,-1201,-41,4611,4452,-9276,1745149970227755666
775072,-530,-1327,-105,4149,4347,-8915,1745149970227755666
775264,-331,-1394,-198,3180,3853,-9106,1745149970271856618
775456,-161,-1389,-232,2326,3219,-9431,1745149970271856618
775648,-90,-1365,-196,1848,2666,-9585,1745149970271856618
775840,-105,-1363,-136,1800,2317,-9659,1745149970271856618
776032,-153,-1390,-103,1993,2135,-9590,1745149970271856618
776224,-208,-1431,-109,2235,2191,-9540,1745149970271856618
776416,-269,-1476,-135,2475,2324,-9604,1745149970271856618
776608,-324,-1516,-162,2571,2371,-9534,1745149970271856618
776800,-348,-1548,-179,2448,2200,-9502,1745149970271856618
776992,-342,-1572,-182,2153,1948,-9640,1745149970271856618
777184,-343,-1589,-173,1826,1752,-9840,1745149970271856618
777376,-380,-1598,-163,1568,1692,-9873,1745149970271856618
777568,-447,-1606,-171,1469,1735,-9762,1745149970321232625
777760,-526,-1623,-204,1536,1958,-9648,1745149970321232625
777952,-602,-1654,-250,1703,2289,-9640,1745149970321232625
778144,-661,-1697,-292,1823,2707,-9655,1745149970321232625
