timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
168352,-23,-30,10,2352,2363,-7920,1745172586777422111
168544,-183,-36,12,2443,1538,-7518,1745172586777422111
168736,-46,-38,-8,2372,1756,-7665,1745172586777422111
168928,23,-19,9,2117,2011,-7538,1745172586777422111
169120,35,-38,5,2133,2174,-7581,1745172586777422111
169312,31,-20,6,2267,1975,-7615,1745172586777422111
169504,51,-7,6,2165,1821,-7519,1745172586777422111
169696,53,-5,10,2054,1840,-7529,1745172586777422111
169888,56,15,17,2140,1865,-7593,1745172586777422111
170080,65,19,18,2285,1850,-7640,1745172586777422111
170272,58,18,16,2381,1799,-7683,1745172586777422111
170464,61,24,15,2406,1806,-7739,1745172586777422111
170656,73,14,16,2477,1929,-7807,1745172586831276671
170848,87,9,16,2518,2028,-7868,1745172586831276671
171040,101,8,8,2487,1943,-7874,1745172586831276671
171232,109,-3,-3,2378,1919,-7863,1745172586831276671
171424,133,4,-2,2383,2057,-7867,1745172586831276671
171616,158,-5,11,2529,2281,-7809,1745172586831276671
171808,181,-34,-1,2684,2403,-7698,1745172586831276671
172000,208,-65,-12,2693,2313,-7638,1745172586831276671
172192,234,-95,-14,2564,2047,-7578,1745172586831276671
172384,239,-112,-24,2318,1666,-7555,1745172586831276671
172576,231,-102,-38,2041,1431,-7553,1745172586831276671
172768,215,-86,-32,1798,1170,-6845,1745172586831276671
172960,25,-33,-27,1837,928,-8302,1745172586891515496
173152,203,12,-4,1822,1626,-7458,1745172586891515496
173344,141,2,-14,1832,1583,-7709,1745172586891515496
173536,108,58,-14,2169,1550,-7831,1745172586891515496
173728,151,55,5,2338,1745,-7783,1745172586891515496
173920,126,49,3,2381,1808,-7708,1745172586891515496
174112,127,43,-8,2425,1800,-7714,1745172586891515496
174304,134,13,1,2523,1691,-7676,1745172586891515496
174496,104,-18,6,2648,799,-7893,1745172586891515496
174688,-302,-46,-66,2765,-4478,-7417,1745172586891515496
