timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
1212449,181,-14,1,871,794,-7911,1745152419296665482
1212641,104,45,3,370,-142,-8174,1745152419296665482
1212833,87,66,3,466,101,-8064,1745152419296665482
1213025,51,114,5,492,64,-8004,1745152419296665482
1213217,2,136,2,424,-37,-8192,1745152419296665482
1213409,-70,176,-9,410,-183,-8135,1745152419296665482
1213601,-148,232,-17,391,-360,-8188,1745152419296665482
1213793,-211,259,-19,424,-214,-8194,1745152419296665482
1213985,-251,301,-10,544,278,-8158,1745152419296665482
1214177,-258,334,4,755,818,-8161,1745152419296665482
1214369,-239,351,7,1048,1177,-8139,1745152419296665482
1214561,-223,362,-5,1296,1244,-8181,1745152419296665482
1214753,-219,356,-33,1410,1127,-8264,1745152419352353411
1215137,-247,330,-101,1593,1236,-8322,1745152419352353411
1215329,-252,305,-127,1745,1244,-8384,1745152419352353411
1215521,-233,268,-131,1625,1022,-8305,1745152419352353411
1215713,-156,244,-95,1726,885,-8321,1745152419352353411
1215905,-83,223,-45,1844,874,-8429,1745152419352353411
1216097,-30,191,-5,1917,1077,-8526,1745152419352353411
1216289,7,152,17,1970,1461,-8618,1745152419352353411
1216481,45,105,19,1926,1737,-8709,1745152419352353411
1216673,87,73,3,1711,1768,-8706,1745152419352353411
1216865,145,60,-15,1420,1792,-8580,1745152419352353411
1217057,216,58,-18,1122,1777,-8457,1745152419352353411
1217249,266,58,-7,688,1162,-8249,1745152419412607809
1217441,363,98,35,1026,2754,-8378,1745152419412607809
1217633,465,126,65,302,1479,-7772,1745152419412607809
1217825,490,215,37,319,1175,-8157,1745152419412607809
1218017,539,233,20,640,895,-7750,1745152419412607809
1218209,536,233,33,1108,140,-7629,1745152419412607809
1218401,431,216,32,2631,-1070,-7379,1745152419412607809
1218593,359,19,24,3786,-1075,-7404,1745152419412607809
1218785,262,-116,36,3453,-1026,-7317,1745152419412607809
1218977,161,-178,37,2691,-889,-7496,1745152419412607809
1219169,96,-236,5,1988,-557,-7482,1745152419412607809
1219361,46,-232,-50,1355,-132,-7460,1745152419412607809
1219553,23,-215,-109,809,249,-7525,1745152419469990826
1219745,24,-173,-164,485,548,-7538,1745152419469990826
1219937,49,-99,-199,332,677,-7596,1745152419469990826
1220129,90,-20,-210,372,708,-7715,1745152419469990826
1220321,130,47,-199,614,642,-7771,1745152419469990826
1220513,153,95,-183,1025,547,-7878,1745152419469990826
1220705,154,115,-179,1410,471,-7927,1745152419469990826
1220897,143,112,-186,1753,333,-7909,1745152419469990826
1221089,134,98,-197,1991,185,-8334,1745152419469990826
1221281,128,69,-214,2155,67,-8520,1745152419469990826
1221473,115,30,-229,2228,32,-8359,1745152419469990826
1221665,99,-5,-238,2186,118,-8164,1745152419469990826
1221857,74,-37,-240,2054,260,-7927,1745152419532402860
1222049,47,-57,-241,1876,385,-7842,1745152419532402860
1222241,39,-59,-249,1726,492,-7815,1745152419532402860
1222433,57,-59,-271,1677,447,-7695,1745152419532402860
1222625,92,-72,-301,1694,233,-7454,1745152419532402860
1222817,129,-91,-326,1799,-65,-7192,1745152419532402860
1223009,151,-120,-350,1934,-325,-6940,1745152419532402860
1223201,157,-139,-378,2091,-452,-6919,1745152419532402860
1223393,165,-181,-421,2259,-422,-6980,1745152419532402860
1223585,163,-250,-480,2350,-333,-7137,1745152419532402860
1223777,152,-317,-540,2337,-231,-7424,1745152419532402860
1223969,174,-374,-583,2210,-18,-7729,1745152419532402860
1224161,252,-412,-614,2073,360,-8128,1745152419600218074
1224353,313,-422,-642,1845,722,-8340,1745152419600218074
1224545,333,-412,-654,1551,931,-8845,1745152419600218074
1224737,335,-404,-624,1411,882,-9005,1745152419600218074
1224929,308,-397,-556,1374,563,-9046,1745152419600218074
1225121,332,-360,-497,1185,589,-9376,1745152419600218074
1225313,410,-276,-465,1049,560,-9129,1745152419600218074
1225505,429,-264,-439,944,-80,-8826,1745152419600218074
1225697,464,-227,-455,791,-669,-9572,1745152419600218074
1225889,466,-161,-485,694,-826,-9556,1745152419600218074
1226081,405,-80,-482,665,-754,-9408,1745152419600218074
1226273,291,-6,-433,756,-569,-9505,1745152419600218074
1226465,194,54,-379,894,-263,-9603,1745152419649598821
1226657,145,71,-351,1137,115,-9156,1745152419649598821
1226849,128,47,-336,1509,426,-8484,1745152419649598821
1227041,111,5,-336,1877,450,-7870,1745152419649598821
1227233,114,-71,-330,2161,266,-7579,1745152419649598821
1227425,97,-151,-306,2350,-68,-7570,1745152419649598821
1227617,52,-220,-279,2431,-347,-7653,1745152419649598821
1227809,-10,-272,-263,2339,-435,-7958,1745152419649598821
1228001,-73,-312,-274,2178,-292,-8388,1745152419649598821
1228193,-126,-351,-315,1997,-176,-8540,1745152419649598821
1228385,-150,-413,-362,1937,-222,-8528,1745152419649598821
1228577,-180,-498,-396,2077,-428,-8368,1745152419649598821
1228769,-246,-588,-407,2334,-620,-8197,1745152419702932344
1228961,-362,-689,-393,2730,-701,-8097,1745152419702932344
1229153,-524,-804,-368,3208,-826,-8249,1745152419702932344
1229345,-719,-934,-403,3335,-1023,-8391,1745152419702932344
1229537,-875,-1050,-458,3226,-800,-8127,1745152419702932344
1229729,-1032,-1081,-449,3197,-253,-8277,1745152419702932344
1229921,-1206,-1109,-422,3245,130,-8320,1745152419702932344
1230113,-1353,-1182,-400,3278,297,-8289,1745152419702932344
1230305,-1431,-1273,-349,3415,348,-8206,1745152419702932344
1230497,-1452,-1366,-302,3555,381,-8180,1745152419702932344
1230689,-1464,-1445,-274,3550,432,-8259,1745152419702932344
1230881,-1477,-1510,-248,3362,628,-8302,1745152419702932344
1231073,-1468,-1534,-190,3119,996,-8441,1745152419763212731
1231265,-1436,-1535,-96,2965,1563,-8696,1745152419763212731
1231457,-1439,-1438,211,3748,2134,-8701,1745152419763212731
1231649,-1420,-1410,630,4515,2352,-8832,1745152419763212731
1231841,-1073,-1668,591,4192,2497,-9254,1745152419763212731
1232033,-688,-1880,343,3279,2331,-9032,1745152419763212731
1232225,-448,-1916,206,2421,1477,-8697,1745152419763212731
1232417,-315,-1885,236,1828,200,-8318,1745152419763212731
1232609,-255,-1818,395,1635,-855,-8238,1745152419763212731
1232801,-249,-1748,556,1666,-1355,-8333,1745152419763212731
1232993,-292,-1684,621,1692,-1385,-8378,1745152419763212731
1233185,-357,-1610,591,1772,-1203,-8347,1745152419763212731
1233377,-422,-1544,531,1898,-1002,-8209,1745152419825907054
1233569,-468,-1492,492,2047,-898,-8123,1745152419825907054
1233761,-489,-1452,483,2122,-912,-7967,1745152419825907054
1233953,-487,-1416,491,2092,-982,-7790,1745152419825907054
1234145,-472,-1376,491,1916,-1106,-7739,1745152419825907054
1234337,-460,-1333,481,1646,-1267,-7731,1745152419825907054
1234529,-460,-1278,467,1332,-1401,-7705,1745152419825907054
1234721,-471,-1211,469,1049,-1413,-7664,1745152419825907054
1234913,-489,-1133,491,827,-1271,-7650,1745152419825907054
1235105,-502,-1034,528,654,-961,-7599,1745152419825907054
1235297,-494,-927,574,563,-549,-7510,1745152419825907054
1235489,-456,-822,622,586,-210,-7433,1745152419825907054
1235681,-396,-730,663,695,33,-7406,1745152419885284064
1235873,-311,-653,699,796,136,-7450,1745152419885284064
1236065,-215,-593,738,837,161,-7601,1745152419885284064
1236257,-120,-547,786,858,137,-7643,1745152419885284064
1236449,-28,-508,841,794,82,-7596,1745152419885284064
1236641,62,-468,901,723,34,-7665,1745152419885284064
1236833,148,-435,958,676,-46,-7702,1745152419885284064
1237025,233,-405,1012,590,-128,-7513,1745152419885284064
1237217,328,-364,1067,436,-138,-7346,1745152419885284064
1237409,441,-314,1116,284,-87,-7188,1745152419885284064
1237601,573,-260,1151,103,51,-7077,1745152419885284064
1237793,718,-197,1179,-67,210,-7064,1745152419885284064
1237985,874,-134,1204,-210,307,-7128,1745152419945240391
1238177,1034,-72,1226,-298,255,-7260,1745152419945240391
1238369,1192,-11,1255,-367,112,-7419,1745152419945240391
1238561,1334,44,1297,-365,-176,-7699,1745152419945240391
1238753,1442,89,1346,-302,-537,-7996,1745152419945240391
1238945,1502,134,1399,-284,-913,-8232,1745152419945240391
1239137,1522,176,1453,-337,-1254,-8403,1745152419945240391
1239329,1504,222,1511,-403,-1468,-8528,1745152419945240391
1239521,1449,276,1570,-514,-1586,-8590,1745152419945240391
1239713,1364,332,1632,-530,-1656,-8630,1745152419945240391
1239905,1261,383,1702,-515,-1684,-8657,1745152419945240391
1240097,1151,428,1783,-460,-1619,-8675,1745152419945240391
1240289,1044,470,1869,-405,-1449,-8707,1745152419999926298
1240481,949,513,1954,-369,-1174,-8720,1745152419999926298
1240673,882,553,2038,-372,-824,-8807,1745152419999926298
1240865,851,586,2113,-347,-525,-8874,1745152419999926298
1241057,851,610,2184,-335,-340,-8855,1745152419999926298
1241249,879,638,2251,-340,-190,-8897,1745152419999926298
1241441,934,671,2316,-395,-70,-9012,1745152419999926298
1241633,1015,708,2378,-471,60,-9084,1745152419999926298
1241825,1116,747,2440,-555,215,-9157,1745152419999926298
1242017,1226,793,2510,-575,372,-9247,1745152419999926298
1242209,1333,842,2586,-577,461,-9276,1745152419999926298
1242401,1438,892,2662,-535,495,-9349,1745152419999926298
1242593,1544,941,2733,-504,409,-9506,1745152420058347326
1242785,1634,987,2798,-424,184,-9603,1745152420058347326
1242977,1701,1022,2859,-387,-143,-9665,1745152420058347326
1243169,1748,1058,2920,-418,-536,-9714,1745152420058347326
1243361,1763,1098,2988,-469,-942,-9578,1745152420058347326
1243553,1745,1142,3066,-520,-1322,-9435,1745152420058347326
1243745,1698,1188,3148,-593,-1635,-9344,1745152420058347326
1243937,1625,1242,3234,-628,-1816,-9170,1745152420058347326
