timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
95775,-143,-42,-33,1488,845,-8735,1745153634323216682
95967,-34,-117,-44,1684,56,-7110,1745153634323216682
96159,-178,-80,-63,1298,561,-8051,1745153634323216682
96351,-144,-91,-52,1207,803,-7739,1745153634323216682
96543,-100,-96,-30,1254,941,-7887,1745153634323216682
96735,-56,-76,-13,1277,877,-8093,1745153634323216682
96927,-36,-107,-7,1307,806,-8136,1745153634323216682
97119,-30,-95,-5,1299,654,-8235,1745153634323216682
97311,-30,-99,0,1203,471,-8296,1745153634323216682
97503,-27,-97,7,1135,361,-8381,1745153634323216682
97695,-25,-81,16,1084,332,-8450,1745153634323216682
97887,-32,-73,26,1025,289,-8500,1745153634323216682
98079,-46,-58,31,979,229,-8539,1745153634383468839
98271,-66,-32,31,890,126,-8532,1745153634383468839
98463,-92,-10,24,881,13,-8529,1745153634383468839
98655,-119,18,17,909,-26,-8564,1745153634383468839
98847,-145,43,10,992,82,-8603,1745153634383468839
99039,-158,54,5,1165,411,-8606,1745153634383468839
99231,-148,47,5,1417,856,-8591,1745153634383468839
99423,-109,25,15,1641,1214,-8568,1745153634383468839
99615,-48,-7,26,1673,1459,-8534,1745153634383468839
99807,20,-18,37,1441,1611,-8421,1745153634383468839
99999,-115,-69,54,1535,-654,-8179,1745153634383468839
100191,-44,38,67,609,2903,-8800,1745153634383468839
100383,283,22,120,727,2043,-7002,1745153634435768414
100575,291,69,123,923,1371,-8581,1745153634435768414
100767,384,121,91,899,735,-8035,1745153634435768414
100959,445,102,76,1120,185,-7201,1745153634435768414
101151,280,41,63,1878,-1136,-7255,1745153634435768414
101343,197,-18,56,1780,-1379,-7583,1745153634435768414
101535,100,-36,73,1674,-1366,-7381,1745153634435768414
101727,-3,-53,81,1446,-1120,-7447,1745153634435768414
101919,-85,-25,69,1245,-644,-7609,1745153634435768414
102111,-139,-25,39,1080,-125,-7704,1745153634435768414
102303,-152,-14,-2,1009,338,-7798,1745153634435768414
102495,-134,2,-44,1023,642,-7848,1745153634435768414
102687,-105,29,-84,1122,808,-7889,1745153634494331837
102879,-70,56,-106,1287,808,-7915,1745153634494331837
103071,-43,69,-111,1481,701,-7949,1745153634494331837
103263,-26,67,-98,1688,561,-7979,1745153634494331837
103455,-18,52,-78,1817,390,-7998,1745153634494331837
103647,-19,24,-61,1901,267,-8003,1745153634494331837
103839,-27,-3,-50,1867,202,-8014,1745153634494331837
104031,-36,-29,-44,1781,159,-8057,1745153634494331837
104223,-48,-51,-43,1641,170,-8058,1745153634494331837
104415,-59,-66,-43,1467,186,-8089,1745153634494331837
104607,-72,-72,-41,1320,182,-8102,1745153634494331837
104799,-90,-71,-42,1218,207,-8043,1745153634494331837
104991,-109,-67,-46,1153,213,-7971,1745153634554688421
105183,-131,-61,-49,1157,230,-7843,1745153634554688421
105375,-156,-56,-53,1179,339,-7715,1745153634554688421
105567,-187,-51,-54,1178,519,-7619,1745153634554688421
105759,-218,-47,-54,1200,714,-7592,1745153634554688421
105951,-234,-48,-54,1214,869,-7628,1745153634554688421
106143,-222,-51,-53,1260,967,-7712,1745153634554688421
106335,-186,-64,-52,1357,997,-7802,1745153634554688421
106527,-134,-92,-54,1527,981,-7869,1745153634554688421
106719,-80,-128,-69,1676,923,-7982,1745153634554688421
106911,-37,-167,-98,1780,787,-8064,1745153634554688421
107103,9,-201,-135,1826,619,-8253,1745153634554688421
107295,48,-231,-178,1842,453,-8526,1745153634611370924
107487,79,-259,-227,1888,362,-8722,1745153634611370924
107679,97,-279,-283,1933,287,-8871,1745153634611370924
107871,96,-309,-342,2000,118,-9037,1745153634611370924
108063,99,-366,-384,2031,-178,-9058,1745153634611370924
108255,126,-418,-391,1978,-432,-8943,1745153634611370924
108447,152,-419,-369,1839,-565,-9149,1745153634611370924
108639,140,-392,-335,1720,-587,-9377,1745153634611370924
108831,84,-360,-311,1629,-550,-9351,1745153634611370924
109023,3,-333,-306,1589,-481,-9257,1745153634611370924
109215,-76,-317,-317,1545,-412,-9146,1745153634611370924
109407,-146,-293,-333,1444,-374,-9101,1745153634611370924
109599,-199,-204,-326,1322,-357,-9359,1745153634708584672
109791,-217,-114,-302,1299,-307,-9630,1745153634708584672
109983,-208,-24,-280,1356,-136,-9933,1745153634708584672
110175,-198,64,-287,1478,-45,-10204,1745153634708584672
