timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
117859,-57,-4,5,2026,1897,-7875,1745176320342559027
118051,-146,14,5,2061,927,-7558,1745176320342559027
118243,-112,-22,-1,2140,1475,-7735,1745176320342559027
118435,-108,-17,5,1986,1528,-7643,1745176320342559027
118627,-122,-10,3,1951,1440,-7651,1745176320342559027
118819,-149,-12,-4,1935,1605,-7576,1745176320342559027
119011,-139,-9,-9,1916,1676,-7594,1745176320342559027
119203,-143,-12,-14,1909,1700,-7605,1745176320342559027
119395,-148,2,-17,1835,1820,-7611,1745176320342559027
119587,-141,15,-26,1813,1902,-7605,1745176320342559027
119779,-141,25,-35,1839,1824,-7563,1745176320342559027
119971,-133,31,-35,1983,1888,-7619,1745176320342559027
120163,-124,24,-27,2095,1974,-7708,1745176320404250339
120355,-113,22,-20,2158,1980,-7831,1745176320404250339
120547,-104,17,-19,2246,1973,-7970,1745176320404250339
120739,-90,5,-20,2391,2043,-8104,1745176320404250339
120931,-60,-11,-15,2489,2254,-8220,1745176320404250339
121123,-12,-28,-7,2492,2452,-8269,1745176320404250339
121315,62,-43,7,2475,2664,-8308,1745176320404250339
121507,155,-52,22,2448,2698,-8258,1745176320404250339
121699,252,-53,37,2327,2677,-8141,1745176320404250339
121891,354,-51,50,2203,2650,-7994,1745176320404250339
122083,449,-55,65,2223,2454,-7851,1745176320404250339
122275,518,-71,85,2245,2193,-7691,1745176320404250339
122467,556,-77,110,2034,1885,-7594,1745176320458151878
122659,577,-57,123,1659,1635,-7538,1745176320458151878
122851,586,-12,120,1349,1422,-7568,1745176320458151878
123043,588,38,107,1182,1240,-7579,1745176320458151878
123235,566,79,91,1002,195,-7338,1745176320458151878
123427,483,156,66,1298,1506,-8200,1745176320458151878
123619,565,140,75,1328,1849,-7439,1745176320458151878
123811,604,208,81,1486,1829,-7873,1745176320458151878
124003,662,209,74,1940,1997,-7741,1745176320458151878
124195,741,202,67,2257,2239,-7711,1745176320458151878
124387,863,177,73,2332,2791,-7827,1745176320458151878
124579,1050,168,88,2403,2599,-8094,1745176320458151878
124771,954,127,58,3161,-2707,-8185,1745176320516068953
124963,47,44,-51,2967,-9025,-7456,1745176320516068953
125155,-964,75,-68,755,-7336,-6768,1745176320516068953
125347,-1482,145,26,-8,-3689,-7573,1745176320516068953
125539,-1616,194,69,427,146,-7741,1745176320516068953
125731,-1523,193,27,1147,3372,-7322,1745176320516068953
125923,-1269,204,-36,2110,5276,-7186,1745176320516068953
126115,-932,221,-86,3294,5650,-7307,1745176320516068953
126307,-577,189,-106,4294,5014,-7574,1745176320516068953
126499,-276,86,-88,4632,4076,-7674,1745176320516068953
126691,-82,-37,-48,4035,3318,-7620,1745176320516068953
126883,13,-105,-21,2942,2746,-7589,1745176320516068953
127075,49,-112,-27,2011,2313,-7526,1745176320574194463
127267,63,-90,-62,1426,1998,-7464,1745176320574194463
127459,59,-57,-103,1189,1738,-7417,1745176320574194463
127651,34,-21,-122,1206,1575,-7431,1745176320574194463
127843,-2,16,-106,1460,1477,-7500,1745176320574194463
128035,-34,39,-62,1805,1471,-7610,1745176320574194463
128227,-60,44,-17,2083,1547,-7736,1745176320574194463
128419,-76,25,6,2249,1653,-7830,1745176320574194463
128611,-80,0,0,2229,1713,-7859,1745176320574194463
128803,-73,-15,-22,2075,1719,-7793,1745176320574194463
128995,-59,-19,-38,1913,1646,-7739,1745176320574194463
129187,-43,-18,-45,1838,1556,-7689,1745176320574194463
129379,-32,-16,-41,1822,1458,-7662,1745176320632728408
129571,-31,-14,-35,1888,1406,-7648,1745176320632728408
129763,-41,-15,-30,1942,1397,-7652,1745176320632728408
129955,-55,-20,-32,2001,1401,-7671,1745176320632728408
130147,-70,-27,-42,2049,1440,-7698,1745176320632728408
130339,-88,-32,-54,2063,1488,-7723,1745176320632728408
130531,-103,-35,-67,2060,1547,-7751,1745176320632728408
130723,-111,-37,-79,2039,1611,-7755,1745176320632728408
130915,-115,-37,-89,1990,1674,-7763,1745176320632728408
131107,-113,-32,-96,1966,1744,-7763,1745176320632728408
131299,-108,-25,-99,1973,1796,-7745,1745176320632728408
131491,-99,-20,-100,2018,1806,-7735,1745176320632728408
131683,-91,-17,-101,2053,1800,-7723,1745176320690950584
131875,-86,-14,-103,2073,1799,-7714,1745176320690950584
132067,-81,-12,-110,2071,1779,-7707,1745176320690950584
132259,-76,-9,-118,2065,1768,-7723,1745176320690950584
132451,-71,-4,-124,2065,1766,-7739,1745176320690950584
132643,-66,3,-126,2059,1756,-7760,1745176320690950584
132835,-61,9,-127,2088,1755,-7763,1745176320690950584
133027,-57,15,-128,2116,1748,-7741,1745176320690950584
133219,-54,24,-128,2129,1768,-7743,1745176320690950584
133411,-50,30,-128,2154,1776,-7736,1745176320690950584
133603,-44,36,-126,2134,1794,-7712,1745176320690950584
133795,-37,42,-123,2126,1799,-7703,1745176320690950584
133987,-30,47,-121,2115,1800,-7685,1745176320751236596
134179,-24,52,-119,2088,1812,-7686,1745176320751236596
134371,-20,56,-118,2083,1791,-7698,1745176320751236596
134563,-16,59,-115,2072,1801,-7704,1745176320751236596
134755,-13,62,-112,2053,1814,-7708,1745176320751236596
134947,-10,67,-111,2066,1823,-7706,1745176320751236596
135139,-9,70,-111,2068,1819,-7691,1745176320751236596
135331,-7,72,-111,2075,1814,-7681,1745176320751236596
135523,-6,72,-109,2073,1796,-7688,1745176320751236596
135715,-7,73,-106,2067,1782,-7703,1745176320751236596
135907,-8,75,-103,2063,1786,-7713,1745176320751236596
136099,-10,78,-102,2056,1814,-7715,1745176320751236596
136291,-10,82,-101,2073,1822,-7696,1745176320811684950
136483,-9,82,-100,2114,1824,-7680,1745176320811684950
136675,-10,81,-98,2140,1841,-7660,1745176320811684950
136867,-11,80,-93,2135,1855,-7647,1745176320811684950
137059,-12,79,-88,2130,1900,-7630,1745176320811684950
137251,-10,79,-82,2137,1943,-7630,1745176320811684950
137443,-6,80,-77,2120,1962,-7627,1745176320811684950
137635,0,80,-72,2119,1979,-7640,1745176320811684950
137827,7,79,-69,2119,1961,-7645,1745176320811684950
138019,14,78,-67,2126,1911,-7651,1745176320811684950
138211,19,77,-62,2118,1866,-7649,1745176320811684950
138403,20,76,-54,2127,1829,-7646,1745176320811684950
138595,19,74,-47,2124,1793,-7640,1745176320864568269
138787,15,73,-40,2128,1773,-7638,1745176320864568269
138979,10,70,-33,2148,1759,-7627,1745176320864568269
139171,4,66,-28,2144,1735,-7617,1745176320864568269
139363,-3,63,-25,2157,1725,-7627,1745176320864568269
139555,-11,62,-21,2178,1725,-7624,1745176320864568269
139747,-18,60,-19,2204,1750,-7631,1745176320864568269
139939,-25,56,-16,2221,1757,-7621,1745176320864568269
