timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
81376,-28,-69,3,2437,392,-7283,1745187374116523079
81568,-41,-88,-19,1945,-374,-8143,1745187374116523079
81760,-156,-70,-3,2265,349,-7696,1745187374116523079
81952,-106,-31,11,2223,361,-7870,1745187374116523079
82144,-78,-43,11,2334,348,-7887,1745187374116523079
82336,-53,-27,0,2404,251,-7828,1745187374116523079
82528,-42,-21,-10,2388,96,-7814,1745187374116523079
82720,-48,-35,-12,2345,40,-7850,1745187374116523079
82912,-43,-33,-9,2325,122,-7870,1745187374116523079
83104,-43,-36,-4,2259,183,-7879,1745187374116523079
83296,-50,-38,-4,2253,79,-7920,1745187374116523079
83488,-126,-52,-9,2335,71,-7839,1745187374116523079
83488,-126,-52,-9,2335,71,-7839,1745187374188999969
83872,-95,-51,9,2217,-83,-7901,1745187374188999969
84064,-62,-22,-5,2080,236,-7971,1745187374188999969
84256,-66,-2,-26,2001,453,-8004,1745187374188999969
84448,-52,28,-32,2039,547,-8010,1745187374188999969
84640,-28,52,-31,2154,727,-8000,1745187374188999969
84832,-6,63,-24,2214,777,-7972,1745187374188999969
85024,22,80,-14,2184,788,-7980,1745187374188999969
85216,52,88,-6,2294,786,-7967,1745187374188999969
85408,68,70,1,2680,428,-7937,1745187374188999969
85600,75,42,11,2824,183,-7931,1745187374188999969
85792,89,21,21,2737,341,-7894,1745187374188999969
85984,99,-11,20,2626,506,-7800,1745187374228181642
86176,95,-54,14,2638,150,-7818,1745187374228181642
86368,94,-76,10,2439,-24,-7851,1745187374228181642
86560,117,-67,12,2320,229,-7856,1745187374228181642
86752,113,-87,-6,2361,195,-7811,1745187374228181642
86944,107,-91,-18,2346,-44,-7803,1745187374228181642
87136,105,-93,-28,2335,-165,-7798,1745187374228181642
87328,50,-90,-40,1583,-1144,-7900,1745187374228181642
87520,82,-37,-55,2547,891,-7838,1745187374228181642
87712,131,-75,-47,2228,307,-7711,1745187374228181642
87904,45,-65,-86,2006,-212,-7904,1745187374228181642
88096,78,-36,-73,1832,-215,-7786,1745187374228181642
88288,92,-7,-58,1731,27,-7798,1745187374291864914
88480,96,19,-56,1743,209,-7676,1745187374291864914
88672,174,55,-41,1766,211,-7779,1745187374291864914
88864,181,96,-45,1480,-179,-7630,1745187374291864914
89056,70,135,-71,1404,-947,-7552,1745187374291864914
89248,-1,117,-44,2059,-908,-7636,1745187374291864914
89440,-26,105,42,2582,-531,-7747,1745187374291864914
89632,-52,73,73,2875,25,-7769,1745187374291864914
89824,-52,36,34,2897,483,-7804,1745187374291864914
90016,-34,12,-16,2723,651,-7810,1745187374291864914
90208,-12,-14,-42,2410,536,-7771,1745187374291864914
90400,10,-28,-33,2107,308,-7734,1745187374291864914
90592,25,-27,-9,1937,100,-7728,1745187374346154679
90784,34,-18,11,1880,-21,-7750,1745187374346154679
90976,36,-3,26,1974,-31,-7782,1745187374346154679
91168,36,12,30,2114,0,-7801,1745187374346154679
91360,37,18,29,2206,44,-7793,1745187374346154679
91552,37,18,32,2321,85,-7819,1745187374346154679
91744,37,20,22,2394,86,-7862,1745187374346154679
91936,35,15,8,2354,46,-7846,1745187374346154679
92128,33,9,6,2269,2,-7824,1745187374346154679
92320,32,8,9,2209,-5,-7833,1745187374346154679
92512,30,9,12,2188,-27,-7852,1745187374346154679
92704,24,12,13,2214,-32,-7866,1745187374346154679
92896,19,11,14,2236,-59,-7861,1745187374405758041
93088,12,9,14,2261,-80,-7874,1745187374405758041
93280,3,6,15,2279,-104,-7880,1745187374405758041
93472,-5,4,14,2285,-89,-7838,1745187374405758041
93664,-10,3,10,2263,-54,-7795,1745187374405758041
93856,-11,3,4,2253,38,-7774,1745187374405758041
94048,-9,6,1,2211,123,-7795,1745187374405758041
94240,-5,8,0,2199,144,-7830,1745187374405758041
94432,-1,9,-1,2201,128,-7846,1745187374405758041
94624,1,11,-1,2228,43,-7826,1745187374405758041
94816,3,13,-2,2218,8,-7809,1745187374405758041
95008,2,14,-3,2239,-20,-7813,1745187374405758041
95200,1,14,-3,2255,0,-7817,1745187374462327993
95392,-1,14,-3,2269,11,-7829,1745187374462327993
95584,-3,13,-3,2281,21,-7828,1745187374462327993
95776,-5,11,-6,2258,17,-7820,1745187374462327993
95968,-6,9,-7,2245,11,-7815,1745187374462327993
96160,-8,8,-7,2235,-7,-7820,1745187374462327993
96352,-10,8,-5,2215,6,-7831,1745187374462327993
96544,-12,8,-2,2213,23,-7828,1745187374462327993
96736,-14,9,-2,2209,35,-7828,1745187374462327993
96928,-13,10,0,2234,56,-7822,1745187374462327993
97120,-13,11,1,2237,38,-7822,1745187374462327993
97312,-13,9,2,2250,26,-7808,1745187374462327993
97504,-14,7,3,2266,5,-7813,1745187374523985867
97696,-14,6,3,2283,28,-7806,1745187374523985867
97888,-13,4,2,2285,51,-7800,1745187374523985867
98080,-11,1,1,2280,63,-7788,1745187374523985867
98272,-8,-2,-1,2279,70,-7775,1745187374523985867
98464,-4,-5,-1,2265,90,-7764,1745187374523985867
98656,1,-5,-2,2259,110,-7785,1745187374523985867
98848,6,-7,-2,2254,93,-7792,1745187374523985867
99040,11,-9,-1,2242,74,-7799,1745187374523985867
99232,14,-10,-1,2248,60,-7784,1745187374523985867
99424,18,-10,-2,2247,57,-7770,1745187374523985867
99616,20,-11,-1,2239,38,-7769,1745187374523985867
99808,23,-11,-1,2232,33,-7807,1745187374578937917
100000,23,-12,-1,2240,23,-7846,1745187374578937917
100192,21,-12,-2,2238,-1,-7845,1745187374578937917
100384,20,-13,-3,2231,8,-7844,1745187374578937917
100576,18,-13,-2,2241,-5,-7822,1745187374578937917
100768,16,-15,-1,2248,-6,-7807,1745187374578937917
100960,16,-16,0,2228,15,-7830,1745187374578937917
101152,15,-16,0,2226,9,-7862,1745187374578937917
101344,12,-17,-1,2223,12,-7857,1745187374578937917
101536,10,-16,-1,2219,-16,-7857,1745187374578937917
101728,8,-15,-2,2232,-30,-7828,1745187374578937917
101920,8,-15,-1,2212,-10,-7818,1745187374578937917
102112,5,-14,-2,2225,16,-7809,1745187374639964495
102304,3,-15,-3,2219,28,-7820,1745187374639964495
102496,5,-15,-4,2234,29,-7829,1745187374639964495
102688,7,-16,-4,2231,52,-7827,1745187374639964495
102880,11,-15,-6,2232,66,-7784,1745187374639964495
103072,12,-16,-8,2248,74,-7781,1745187374639964495
103264,19,-18,-8,2257,65,-7792,1745187374639964495
103456,25,-18,-9,2256,81,-7796,1745187374639964495
103648,28,-21,-12,2257,47,-7795,1745187374639964495
103840,33,-22,-14,2257,21,-7816,1745187374639964495
104032,35,-23,-17,2264,-5,-7824,1745187374639964495
104224,35,-24,-21,2259,-28,-7785,1745187374639964495
104416,37,-25,-25,2250,-21,-7783,1745187374699544940
104608,37,-27,-29,2270,0,-7796,1745187374699544940
104800,33,-29,-32,2270,-46,-7800,1745187374699544940
104992,31,-33,-35,2290,-93,-7854,1745187374699544940
