timestamp,adc0,adc1,adc2,adc3,pkt_time_ns,series_id
5198873,2041,1910,2114,1997,1745154327399868863,0
5199871,2041,1874,2114,1991,1745154327399868863,0
5200871,2050,1861,2096,1990,1745154327399868863,0
5201871,2056,1872,2070,1998,1745154327399868863,0
5202871,2061,1897,2038,2010,1745154327399868863,0
5203871,2065,1944,2014,2024,1745154327399868863,0
5204871,2068,1999,1996,2045,1745154327399868863,0
5205871,2068,2060,1977,2068,1745154327399868863,0
5206871,2065,2118,1960,2090,1745154327399868863,0
5207871,2059,2170,1944,2104,1745154327399868863,0
5208871,2053,2208,1934,2113,1745154327399868863,0
5209871,2045,2225,1932,2114,1745154327399868863,0
5210871,2037,2222,1939,2112,1745154327399868863,0
5211872,2030,2206,1956,2105,1745154327399868863,0
5212872,2023,2172,1979,2096,1745154327399868863,0
5213872,2018,2130,2006,2082,1745154327399868863,0
5214872,2012,2081,2035,2072,1745154327399868863,0
5215872,2010,2024,2067,2059,1745154327399868863,0
5216872,2011,1968,2100,2041,1745154327399868863,0
5217872,2012,1918,2126,2024,1745154327399868863,0
5218872,2015,1883,2141,2009,1745154327399868863,0
5219872,2021,1871,2147,1997,1745154327399868863,0
5220872,2029,1880,2140,1991,1745154327399868863,0
5221872,2037,1906,2132,1986,1745154327399868863,0
5222872,2048,1942,2125,1987,1745154327399868863,0
5223873,2053,1980,2118,1990,1745154327399868863,0
5224873,2058,2014,2115,1998,1745154327399868863,0
5225873,2059,2051,2101,2009,1745154327399868863,0
5226873,2059,2086,2081,2022,1745154327399868863,0
5227873,2057,2124,2053,2038,1745154327399868863,0
5228873,2055,2156,2022,2059,1745154327399868863,0
5229873,2049,2179,2002,2072,1745154327399868863,0
5230873,2042,2189,1986,2081,1745154327399868863,0
5231873,2036,2186,1986,2086,1745154327399868863,0
5232873,2030,2172,1993,2089,1745154327399868863,0
5233873,2027,2148,2008,2090,1745154327399868863,0
5234873,2025,2120,2027,2087,1745154327399868863,0
5235874,2024,2082,2050,2078,1745154327399868863,0
5236874,2024,2036,2078,2065,1745154327399868863,0
5237874,2025,1989,2104,2040,1745154327399868863,0
5238874,2029,1948,2120,2022,1745154327399868863,0
5239874,2035,1920,2132,2005,1745154327399868863,0
5240874,2041,1907,2132,1995,1745154327399868863,0
5241874,2049,1916,2124,1989,1745154327399868863,0
5242874,2053,1937,2112,1986,1745154327399868863,0
5243874,2059,1967,2101,1988,1745154327399868863,0
5244874,2062,2002,2091,1988,1745154327399868863,0
5245874,2064,2042,2080,1994,1745154327399868863,0
5246874,2064,2089,2062,2008,1745154327399868863,0
5247875,2062,2133,2040,2027,1745154327399868863,0
5248875,2057,2164,2025,2049,1745154327399868863,0
5249875,2052,2185,2011,2065,1745154327399868863,0
5250875,2042,2189,2005,2076,1745154327399868863,0
5251875,2036,2173,2001,2082,1745154327399868863,0
5252875,2030,2140,2013,2080,1745154327399868863,0
5253875,2026,2099,2025,2072,1745154327399868863,0
5254875,2026,2059,2042,2062,1745154327399868863,0
5255875,2029,2016,2061,2048,1745154327399868863,0
5256875,2034,1975,2082,2030,1745154327453191813,0
5257875,2041,1938,2107,2013,1745154327453191813,0
5258876,2050,1921,2124,2000,1745154327453191813,0
5259876,2056,1921,2134,1989,1745154327453191813,0
5260876,2060,1939,2136,1982,1745154327453191813,0
5261876,2063,1969,2125,1984,1745154327453191813,0
5262876,2064,2002,2125,1987,1745154327453191813,0
5263877,2059,2034,2121,1993,1745154327453191813,0
5264876,2065,2068,2115,2000,1745154327453191813,0
5265876,2064,2101,2093,2012,1745154327453191813,0
5266876,2058,2133,2073,2026,1745154327453191813,0
5267876,2060,2166,2043,2038,1745154327453191813,0
5268876,2081,2184,2017,2108,1745154327453191813,0
5269876,2081,2224,2034,2112,1745154327453191813,0
5270876,2060,2194,2012,2115,1745154327453191813,0
5271877,2041,2160,2001,2120,1745154327453191813,0
5272877,2025,2089,1958,2076,1745154327453191813,0
5273877,1972,2061,1972,2082,1745154327453191813,0
5274877,1984,2052,2002,2082,1745154327453191813,0
5275877,1995,2048,2035,2070,1745154327453191813,0
5276877,2001,2033,2075,2052,1745154327453191813,0
5277877,2006,2011,2110,2026,1745154327453191813,0
5278877,2010,1996,2149,2012,1745154327453191813,0
5279877,2019,1982,2180,2001,1745154327453191813,0
5280877,2068,1979,2192,1990,1745154327453191813,0
5281877,2033,1985,2186,1989,1745154327453191813,0
5282877,2041,2001,2166,1997,1745154327453191813,0
5283878,2056,2027,2130,2004,1745154327453191813,0
5284878,2060,2058,2089,2014,1745154327453191813,0
5285878,2066,2090,2048,2025,1745154327453191813,0
5286878,2067,2120,2009,2034,1745154327453191813,0
5287878,2066,2160,1981,2048,1745154327453191813,0
5288878,2064,2190,1964,2061,1745154327453191813,0
5289878,2060,2205,1957,2069,1745154327453191813,0
5290878,2054,2213,1962,2120,1745154327453191813,0
5291878,2051,2194,1978,2078,1745154327453191813,0
5292878,2037,2169,1989,2070,1745154327453191813,0
5293878,2029,2144,2003,2066,1745154327453191813,0
5294879,2025,2110,2021,2060,1745154327453191813,0
5295879,2030,2074,2040,2053,1745154327453191813,0
5296879,2029,2032,2065,2042,1745154327453191813,0
5297879,2032,1990,2088,2031,1745154327453191813,0
5298879,2036,1956,2104,2021,1745154327453191813,0
5299879,2043,1934,2117,2012,1745154327453191813,0
5300879,2052,1928,2122,2005,1745154327453191813,0
5301879,2061,1936,2124,2004,1745154327453191813,0
5302879,2066,1954,2124,2005,1745154327453191813,0
5303879,2071,1979,2121,2010,1745154327453191813,0
5304879,2073,2009,2106,2014,1745154327453191813,0
5305879,2077,2042,2084,2022,1745154327453191813,0
5306879,2077,2082,2058,2037,1745154327453191813,0
5307880,2070,2120,2034,2053,1745154327453191813,0
5308880,2068,2153,2013,2067,1745154327453191813,0
5309880,2061,2172,2001,2081,1745154327453191813,0
5310880,2057,2176,1993,2088,1745154327453191813,0
5311880,2051,2170,1987,2093,1745154327453191813,0
5312880,2043,2150,1986,2093,1745154327453191813,0
5313880,2039,2131,1982,2088,1745154327453191813,0
5314880,2035,2105,1989,2084,1745154327526384686,0
5315880,2035,2073,1993,2076,1745154327526384686,0
5316880,2036,2031,2010,2064,1745154327526384686,0
5317880,2041,1989,2022,2048,1745154327526384686,0
5318880,2049,1960,2035,2028,1745154327526384686,0
5319881,2052,1939,2040,2012,1745154327526384686,0
5320881,2062,1936,2042,2001,1745154327526384686,0
5321881,2068,1947,2050,1999,1745154327526384686,0
5322882,2078,1964,2059,1995,1745154327526384686,0
5323881,2079,1992,2059,2003,1745154327526384686,0
5324881,2093,2029,2061,2066,1745154327526384686,0
5325881,2142,2100,2075,2077,1745154327526384686,0
5326883,2088,2086,1990,2057,1745154327526384686,0
5327881,2076,2129,1965,2095,1745154327526384686,0
5328881,2084,2163,1954,2121,1745154327526384686,0
5329881,2091,2186,1948,2133,1745154327526384686,0
5330882,2101,2189,1949,2173,1745154327526384686,0
5331882,2085,2181,1960,2133,1745154327526384686,0
5332882,2077,2147,1981,2120,1745154327526384686,0
5333882,2073,2120,2013,2109,1745154327526384686,0
5334882,2070,2081,2037,2096,1745154327526384686,0
5335882,2070,2042,2072,2076,1745154327526384686,0
5336882,2072,2001,2107,2061,1745154327526384686,0
5337882,2076,1964,2142,2039,1745154327526384686,0
5338882,2082,1934,2173,2017,1745154327526384686,0
5339882,2086,1909,2195,2009,1745154327526384686,0
5340882,2098,1913,2215,2009,1745154327526384686,0
5341882,2112,1924,2218,2009,1745154327526384686,0
5342882,2123,1946,2221,2016,1745154327526384686,0
5343883,2139,1973,2208,2022,1745154327526384686,0
5344883,2157,2005,2189,2035,1745154327526384686,0
5345883,2173,2042,2153,2048,1745154327526384686,0
5346883,2189,2080,2111,2064,1745154327526384686,0
5347883,2201,2117,2059,2078,1745154327526384686,0
5348883,2212,2150,2008,2090,1745154327526384686,0
5349883,2229,2168,1970,2096,1745154327526384686,0
5350883,2245,2171,1950,2100,1745154327526384686,0
5351883,2258,2160,1956,2100,1745154327526384686,0
5352883,2271,2138,1989,2097,1745154327526384686,0
5353883,2276,2112,2038,2094,1745154327526384686,0
5354883,2271,2083,2098,2094,1745154327526384686,0
5355884,2253,2048,2164,2091,1745154327526384686,0
5356884,2227,2009,2227,2084,1745154327526384686,0
5357884,2188,1973,2280,2080,1745154327526384686,0
5358884,2142,1944,2314,2073,1745154327526384686,0
5359884,2096,1929,2322,2064,1745154327526384686,0
5360884,2049,1926,2297,2052,1745154327526384686,0
5361884,1997,1937,2241,2042,1745154327526384686,0
5362884,1949,1958,2171,2041,1745154327526384686,0
5363885,1909,1986,2092,2033,1745154327526384686,0
5364884,1869,2013,2011,2026,1745154327526384686,0
5365884,1835,2054,1922,2021,1745154327526384686,0
5366884,1809,2096,1837,2021,1745154327526384686,0
5367885,1791,2142,1760,2035,1745154327526384686,0
5368885,1782,2178,1700,2043,1745154327526384686,0
5369885,1779,2202,1667,2059,1745154327526384686,0
5370885,1782,2214,1664,2073,1745154327526384686,0
