timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns,series_id
37600,187,-64,21,2427,1523,-7965,1745152644112332885,0
37792,210,-119,14,1607,446,-8132,1745152644112332885,0
37984,128,-151,-16,1776,1178,-8298,1745152644112332885,0
38176,130,-170,-14,1460,1192,-8017,1745152644112332885,0
38368,162,-123,-8,1325,1185,-8238,1745152644112332885,0
38560,159,-121,0,1320,1144,-8281,1745152644112332885,0
38752,152,-89,10,1333,1113,-8296,1745152644112332885,0
38944,160,-62,22,1353,1085,-8267,1745152644112332885,0
39136,154,-57,35,1476,1040,-8172,1745152644112332885,0
39328,164,-51,45,1651,1026,-8117,1745152644112332885,0
39520,178,-74,58,1817,1107,-7990,1745152644112332885,0
39712,202,-119,74,1873,1325,-7817,1745152644112332885,0
39904,250,-152,90,1796,1545,-7665,1745152644170242824,0
40096,308,-182,98,1630,1615,-7561,1745152644170242824,0
40288,371,-197,93,1480,1531,-7536,1745152644170242824,0
40480,419,-195,77,1312,1220,-7565,1745152644170242824,0
40672,436,-187,53,1157,932,-7646,1745152644170242824,0
40864,450,-159,34,994,717,-7776,1745152644170242824,0
41056,452,-121,27,884,469,-7903,1745152644170242824,0
41248,440,-72,23,810,180,-8133,1745152644170242824,0
41440,410,-4,17,703,54,-8332,1745152644170242824,0
41632,369,77,10,582,34,-8476,1745152644170242824,0
41824,336,169,4,469,176,-8650,1745152644170242824,0
42016,318,271,-4,396,349,-8819,1745152644170242824,0
42208,297,377,-18,316,324,-8925,1745152644224647015,0
42400,272,474,-38,574,249,-7825,1745152644224647015,0
42592,236,564,-55,290,-604,-10429,1745152644224647015,0
42784,280,628,-39,980,1400,-8248,1745152644224647015,0
42976,483,600,0,1327,2019,-7934,1745152644224647015,0
43168,369,609,72,2078,421,-8474,1745152644224647015,0
43360,3,474,65,4409,-2599,-8601,1745152644224647015,0
43552,-561,214,-2,5201,-3435,-7320,1745152644224647015,0
43744,-659,-47,21,4675,-2059,-7424,1745152644224647015,0
43936,-816,-264,65,3657,-854,-7340,1745152644224647015,0
44128,-833,-334,76,2789,620,-7462,1745152644224647015,0
44320,-811,-320,24,1868,1774,-7345,1745152644224647015,0
44512,-693,-314,-67,1134,2582,-7299,1745152644285509480,0
44704,-538,-263,-153,550,3021,-7224,1745152644285509480,0
44896,-353,-191,-195,175,3214,-7189,1745152644285509480,0
45088,-141,-105,-177,13,2993,-7224,1745152644285509480,0
45280,62,-3,-115,182,2501,-7377,1745152644285509480,0
45472,208,99,-48,531,1856,-7526,1745152644285509480,0
45664,293,175,-2,987,1209,-7686,1745152644285509480,0
45856,316,210,12,1480,641,-7834,1745152644285509480,0
46048,290,208,6,1894,209,-7962,1745152644285509480,0
46240,231,181,-9,2202,-93,-8060,1745152644285509480,0
46432,156,139,-22,2385,-235,-8119,1745152644285509480,0
46624,78,86,-31,2462,-233,-8172,1745152644285509480,0
46816,3,35,-39,2368,-36,-8202,1745152644343391972,0
47008,-56,-10,-40,2167,222,-8209,1745152644343391972,0
47200,-92,-44,-39,1909,480,-8153,1745152644343391972,0
47392,-97,-64,-43,1676,729,-8069,1745152644343391972,0
47584,-74,-73,-49,1445,901,-7960,1745152644343391972,0
47776,-36,-67,-54,1293,995,-7881,1745152644343391972,0
47968,1,-47,-59,1181,1043,-7826,1745152644343391972,0
48160,29,-17,-67,1195,1018,-7772,1745152644343391972,0
48352,46,14,-75,1250,955,-7752,1745152644343391972,0
48544,60,42,-84,1351,872,-7715,1745152644343391972,0
48736,74,58,-90,1484,801,-7740,1745152644343391972,0
48928,89,63,-90,1618,778,-7762,1745152644343391972,0
49120,100,58,-89,1720,764,-7813,1745152644407283836,0
49312,106,46,-90,1799,765,-7875,1745152644407283836,0
49504,103,30,-93,1833,777,-7916,1745152644407283836,0
49696,99,12,-99,1815,779,-7952,1745152644407283836,0
49888,96,-5,-102,1780,767,-7968,1745152644407283836,0
50080,94,-17,-103,1744,746,-8023,1745152644407283836,0
50272,91,-25,-103,1687,720,-8039,1745152644407283836,0
50464,80,-27,-105,1635,674,-8148,1745152644407283836,0
50656,64,-26,-108,1635,588,-8259,1745152644407283836,0
50848,34,-28,-112,1658,495,-8356,1745152644407283836,0
51040,-12,-30,-113,1682,353,-8422,1745152644407283836,0
51232,-67,-31,-109,1768,206,-8689,1745152644407283836,0
51424,-124,-43,-100,1948,30,-9195,1745152644471192263,0
51616,-186,-62,-87,2150,-137,-9468,1745152644471192263,0
51808,-257,-68,-76,2343,-181,-9612,1745152644471192263,0
52000,-382,-78,-78,2521,-453,-9002,1745152644471192263,0
52192,-526,-113,-97,2688,-497,-10444,1745152644471192263,0
52384,-649,-141,-120,2876,-325,-10647,1745152644471192263,0
52576,-750,-159,-110,3031,-183,-9907,1745152644471192263,0
52768,-731,-191,-85,3297,171,-10072,1745152644471192263,0
52960,-749,-228,-74,3520,533,-9880,1745152644471192263,0
53152,-793,-265,-101,3539,807,-9758,1745152644471192263,0
53344,-833,-308,-154,3400,894,-9578,1745152644471192263,0
53536,-822,-365,-198,3239,812,-9295,1745152644471192263,0
53728,-786,-405,-216,3106,570,-8708,1745152644518538653,0
53920,-754,-403,-213,2867,436,-7905,1745152644518538653,0
54112,-679,-341,-220,2538,871,-8268,1745152644518538653,0
54304,-583,-288,-247,2269,1328,-8040,1745152644518538653,0
54496,-547,-211,-275,2034,1422,-7556,1745152644518538653,0
54688,-450,-142,-306,1960,1485,-7857,1745152644518538653,0
54880,-314,-113,-332,2001,1523,-7976,1745152644518538653,0
55072,-174,-85,-349,2191,1602,-7999,1745152644518538653,0
55264,-46,-38,-366,2372,1732,-8206,1745152644518538653,0
55456,81,15,-388,2609,1985,-8628,1745152644518538653,0
55648,195,78,-407,2811,2153,-8704,1745152644518538653,0
55840,326,109,-412,3093,2131,-9010,1745152644518538653,0
56032,463,81,-404,3399,1891,-9219,1745152644580704960,0
56224,612,13,-383,3748,1503,-9369,1745152644580704960,0
56416,718,-69,-345,4051,982,-9480,1745152644580704960,0
