timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
113440,124,201,-2,-95,1844,-7602,1745147077281400676
113632,155,72,9,-40,511,-8570,1745147077281400676
113824,85,4,5,-91,891,-7974,1745147077281400676
114016,90,37,22,-169,1072,-8057,1745147077281400676
114208,136,18,27,-104,1050,-8233,1745147077281400676
114400,95,27,24,-6,1048,-8188,1745147077281400676
114592,105,34,14,-7,996,-8257,1745147077281400676
114784,88,14,8,3,912,-8286,1745147077281400676
114976,58,24,7,7,865,-8276,1745147077281400676
115168,54,25,8,13,908,-8290,1745147077281400676
115360,26,20,12,38,986,-8306,1745147077281400676
115552,15,26,10,111,1003,-8344,1745147077281400676
115744,6,15,4,225,1052,-8411,1745147077337570840
115936,-2,8,0,267,1176,-8466,1745147077337570840
116128,14,4,-3,289,1331,-8570,1745147077337570840
116320,43,-7,-6,319,1488,-8595,1745147077337570840
116512,86,-20,-13,419,1649,-8585,1745147077337570840
116704,140,-45,-18,501,1791,-8656,1745147077337570840
116896,190,-77,-22,488,1860,-8568,1745147077337570840
117088,245,-83,-31,295,1718,-8414,1745147077337570840
117280,290,-85,-40,-62,980,-7898,1745147077337570840
117472,286,-135,-48,509,2253,-9254,1745147077337570840
117664,567,-121,-18,266,2757,-7669,1745147077337570840
117856,739,-100,-11,-158,1911,-8053,1745147077337570840
118048,786,-57,-46,-144,1206,-8408,1745147077395909162
118240,753,-30,-91,-312,526,-7885,1745147077395909162
118432,141,146,21,-1649,-2824,-8750,1745147077395909162
118624,-183,580,-46,-3470,-4442,-6124,1745147077395909162
118816,-326,405,-127,-2008,-3065,-6870,1745147077395909162
119008,-537,264,-1,-588,-2047,-7451,1745147077395909162
119200,-711,264,62,402,-520,-7910,1745147077395909162
119392,-857,145,52,726,822,-7649,1745147077395909162
119584,-859,130,-7,727,2044,-7653,1745147077395909162
119776,-719,83,-70,591,2862,-7780,1745147077395909162
119968,-497,44,-131,410,3382,-7833,1745147077395909162
120160,-263,24,-155,217,3583,-7946,1745147077395909162
120352,-59,2,-126,190,3204,-7974,1745147077453040046
120544,90,-10,-101,213,2525,-8010,1745147077453040046
120736,183,-21,-89,214,1822,-8035,1745147077453040046
