timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
146079,262,-181,22,-732,1670,-7229,1745143550061817509
146271,59,-48,1,-866,954,-8369,1745143550061817509
146463,-22,-44,-10,-777,1241,-7897,1745143550061817509
146655,-12,-45,10,-801,1349,-8054,1745143550061817509
146847,-28,-19,25,-696,1537,-8060,1745143550061817509
147039,7,-31,22,-631,1686,-8016,1745143550061817509
147231,23,-32,16,-627,1689,-8071,1745143550061817509
147423,32,-19,7,-648,1461,-8082,1745143550061817509
147615,32,-27,-1,-692,1235,-8082,1745143550061817509
147807,17,-17,5,-736,1254,-8104,1745143550061817509
147999,23,-7,17,-751,1345,-8102,1745143550061817509
148191,24,-4,22,-689,1371,-8135,1745143550061817509
148383,16,6,16,-679,1321,-8237,1745143550115566809
148575,12,19,8,-758,1148,-8341,1745143550115566809
148767,-2,38,2,-762,1116,-8493,1745143550115566809
148959,-3,63,4,-714,1383,-8634,1745143550115566809
149151,17,72,8,-618,1635,-8742,1745143550115566809
149343,37,75,7,-438,1710,-8678,1745143550115566809
149535,67,81,1,-332,1876,-8585,1745143550115566809
149727,109,90,-3,-395,1829,-8460,1745143550115566809
149919,64,50,-10,-760,753,-7852,1745143550115566809
150111,21,122,-19,-664,1951,-8917,1745143550115566809
150303,163,95,6,-637,1859,-7377,1745143550115566809
150495,127,171,21,-565,1652,-8878,1745143550115566809
150687,70,436,110,-554,980,-8588,1745143550175939435
150879,-115,396,58,-264,-1148,-4536,1745143550175939435
151071,-334,15,-210,-280,-2345,-7106,1745143550175939435
151263,-331,66,-265,-1071,-395,-7688,1745143550175939435
151455,-388,22,-119,-1062,971,-7300,1745143550175939435
151647,-376,66,-17,-1073,2239,-7739,1745143550175939435
151839,-292,55,1,-727,2722,-7912,1745143550175939435
152031,-161,59,-80,-575,3104,-7969,1745143550175939435
152223,-53,58,-98,-364,2752,-8081,1745143550175939435
152415,28,45,-104,-269,2294,-8080,1745143550175939435
152607,71,27,-85,-301,1834,-8053,1745143550175939435
152799,70,6,-50,-437,1497,-8001,1745143550175939435
152991,57,-7,-20,-612,1288,-7926,1745143550234662857
153183,39,-4,-7,-774,1182,-7929,1745143550234662857
153375,25,5,-7,-840,1140,-7910,1745143550234662857
153567,16,20,-13,-785,1110,-7956,1745143550234662857
153759,3,32,-21,-686,1107,-7985,1745143550234662857
153951,-10,38,-24,-546,1125,-8011,1745143550234662857
154143,-22,39,-21,-446,1189,-8024,1745143550234662857
154335,-36,35,-16,-392,1291,-8021,1745143550234662857
154527,-45,26,-13,-377,1410,-8010,1745143550234662857
154719,-45,19,-11,-432,1530,-8007,1745143550234662857
154911,-40,14,-12,-478,1592,-8005,1745143550234662857
155103,-30,12,-15,-530,1594,-8016,1745143550234662857
155295,-22,11,-17,-559,1560,-8021,1745143550291592597
155487,-15,12,-19,-591,1498,-7988,1745143550291592597
155679,-10,14,-18,-583,1412,-7976,1745143550291592597
155871,-11,15,-18,-575,1365,-7963,1745143550291592597
156063,-15,14,-19,-554,1323,-7965,1745143550291592597
156255,-20,12,-21,-542,1293,-7954,1745143550291592597
156447,-23,11,-23,-568,1289,-7930,1745143550291592597
156639,-23,10,-23,-571,1296,-7927,1745143550291592597
156831,-22,10,-26,-587,1310,-7930,1745143550291592597
157023,-20,10,-30,-606,1331,-7936,1745143550291592597
157215,-17,10,-33,-621,1347,-7952,1745143550291592597
157407,-15,12,-35,-625,1357,-7944,1745143550291592597
157599,-14,13,-37,-632,1371,-7946,1745143550351598351
157791,-14,14,-39,-650,1382,-7947,1745143550351598351
157983,-14,15,-40,-622,1384,-7934,1745143550351598351
158175,-15,13,-41,-618,1391,-7920,1745143550351598351
158367,-18,12,-42,-609,1397,-7913,1745143550351598351
158559,-21,11,-44,-620,1401,-7927,1745143550351598351
158751,-23,9,-46,-621,1404,-7915,1745143550351598351
158943,-22,7,-48,-608,1387,-7942,1745143550351598351
159135,-21,8,-49,-614,1379,-7946,1745143550351598351
159327,-24,8,-50,-606,1376,-7950,1745143550351598351
159519,-28,6,-51,-610,1363,-7954,1745143550351598351
159711,-30,5,-50,-623,1395,-7941,1745143550351598351
159903,-31,6,-49,-628,1419,-7962,1745143550408679080
160095,-30,6,-48,-638,1437,-7946,1745143550408679080
160287,-30,7,-48,-639,1470,-7932,1745143550408679080
160479,-30,7,-49,-619,1467,-7925,1745143550408679080
160671,-28,7,-50,-618,1465,-7917,1745143550408679080
160863,-27,7,-50,-616,1450,-7916,1745143550408679080
161055,-26,7,-49,-614,1445,-7914,1745143550408679080
161247,-26,8,-49,-608,1468,-7921,1745143550408679080
